,index,acc,loss,val_acc,val_loss
0,0,0.03008,4.4264962616,0.0655,4.14401128769
1,1,0.0705,4.10261382675,0.1242,3.82719372511
2,2,0.10006,3.88488696718,0.1591,3.63415612221
3,3,0.12142,3.73913132524,0.1878,3.45926245451
4,4,0.14116,3.61643753815,0.2026,3.35691449881
5,5,0.15674,3.5241343379,0.2242,3.24633115292
6,6,0.17652,3.42483368826,0.2297,3.22550483704
7,7,0.18958,3.34147707081,0.2576,3.05503630161
8,8,0.20068,3.28029110527,0.2686,2.99799945116
9,9,0.21214,3.21202040339,0.2679,2.98380459547
10,10,0.2234,3.16015360641,0.284,2.90053044319
11,11,0.23286,3.10448690557,0.2998,2.83329102993
12,12,0.23796,3.06871933794,0.3038,2.79592632771
13,13,0.24778,3.02420277691,0.3023,2.77654529095
14,14,0.25754,2.98273714638,0.3175,2.71532430172
15,15,0.26202,2.94829458475,0.325,2.70237232685
16,16,0.2687,2.90836252117,0.3297,2.68107810736
17,17,0.27476,2.88310928774,0.3401,2.63668327332
18,18,0.28174,2.85755090904,0.3413,2.61114830256
19,19,0.28398,2.83089628983,0.351,2.56276143551
20,20,0.28964,2.8060537405,0.3483,2.59334906101
21,21,0.29454,2.77822581768,0.3551,2.54944523096
22,22,0.29848,2.75944586992,0.3573,2.53941203117
23,23,0.30332,2.73028630352,0.3611,2.50845741272
24,24,0.30802,2.71071249056,0.3645,2.511702075
25,25,0.31082,2.68989469242,0.3556,2.53006778479
26,26,0.31674,2.67083049965,0.3637,2.47733306885
27,27,0.31962,2.66003592253,0.3709,2.43425520182
28,28,0.32302,2.63784804487,0.3621,2.47076259136
29,29,0.32224,2.62070164728,0.3734,2.45205647707
30,30,0.32548,2.61454833078,0.3768,2.41545818448
31,31,0.33248,2.58592340851,0.3748,2.40491259933
32,32,0.33466,2.57181257868,0.379,2.39453088999
33,33,0.33506,2.56287999916,0.3788,2.38949882269
34,34,0.3348,2.55558329248,0.3871,2.3623039186
35,35,0.33978,2.53847216225,0.3871,2.38052759409
36,36,0.34196,2.52683882761,0.3821,2.36553089499
37,37,0.34732,2.51418716097,0.3875,2.33054211259
38,38,0.3488,2.49448043013,0.3916,2.33830361009
39,39,0.35014,2.48527238441,0.3933,2.33105353594
40,40,0.35596,2.47319802904,0.3936,2.31818816066
41,41,0.35458,2.45932242751,0.392,2.33094034553
