,index,acc,loss,val_acc,val_loss
0,0,0.02574,4.42087177372,0.0449,4.20374120712
1,1,0.0463,4.18449151278,0.0785,3.99347826242
2,2,0.06348,4.04137445688,0.1012,3.8810338521
3,3,0.08304,3.92061710644,0.1293,3.72357128859
4,4,0.09852,3.8110278821,0.144,3.60990008354
5,5,0.11878,3.68548667336,0.1645,3.49078958035
6,6,0.132,3.58939766645,0.1839,3.36925192118
7,7,0.1494,3.50479510403,0.1947,3.3088816762
8,8,0.16394,3.42447976303,0.2119,3.21733649254
9,9,0.17588,3.35340723419,0.2242,3.16149586439
10,10,0.1876,3.29235631418,0.2304,3.13475185394
11,11,0.19948,3.22417786741,0.2503,3.04214051723
12,12,0.20908,3.15829152727,0.2572,2.98292479753
13,13,0.21946,3.10896129799,0.2678,2.92771975756
14,14,0.22844,3.053773036,0.2595,2.95635540962
15,15,0.23762,3.005586905,0.2762,2.84368326902
16,16,0.24392,2.96031849194,0.2862,2.84269322157
17,17,0.26022,2.89520425129,0.2984,2.76955972433
18,18,0.26468,2.85503682613,0.3011,2.74249553442
19,19,0.27294,2.81763950396,0.3034,2.71810334444
20,20,0.28254,2.77205887842,0.3129,2.68144740582
21,21,0.28814,2.73412734222,0.3102,2.67310050011
22,22,0.29482,2.69847283077,0.321,2.6253450036
23,23,0.30366,2.66042252922,0.3293,2.61861900568
24,24,0.30952,2.63380980825,0.3232,2.64067765713
25,25,0.31364,2.60252991915,0.316,2.63382088184
26,26,0.32008,2.56903945494,0.3348,2.58114638567
27,27,0.32406,2.54369858265,0.3329,2.58081186414
28,28,0.33074,2.51694170761,0.3388,2.56685424685
29,29,0.33764,2.48720121861,0.3362,2.56383634686
30,30,0.34178,2.46834284115,0.3378,2.57263178349
31,31,0.34458,2.43819030142,0.3394,2.57628048658
32,32,0.35184,2.41499985933,0.3399,2.55218560219
33,33,0.35686,2.38738673115,0.3475,2.54442149162
34,34,0.35738,2.37799331236,0.3503,2.54109434366
35,35,0.36548,2.3459811821,0.3466,2.5312439692
36,36,0.36904,2.31218793249,0.3522,2.55705587983
37,37,0.37184,2.30283408332,0.3465,2.54907028198
38,38,0.3732,2.29584883022,0.3503,2.54775137305
39,39,0.37686,2.27109194636,0.3505,2.54589519739
40,40,0.3833,2.2476647923,0.3578,2.5382628727
41,41,0.3849,2.22330313468,0.3499,2.5578112042
42,42,0.38916,2.21415989304,0.3555,2.5382453227
43,43,0.39164,2.19463745809,0.3525,2.58455849886
44,44,0.39504,2.1761247592,0.3534,2.58786667347
45,45,0.39578,2.16193109155,0.3597,2.56624845862
46,46,0.40394,2.14023987865,0.3572,2.56029979348
47,47,0.40292,2.13355397725,0.3439,2.61180966735
48,48,0.40762,2.11734323716,0.3598,2.57756269574
