,index,acc,loss,val_acc,val_loss
0,0,0.03146,4.39977064133,0.0886,4.10527933598
1,1,0.07608,4.06516554022,0.1268,3.81458661556
2,2,0.10528,3.86495554256,0.1666,3.58277612686
3,3,0.12922,3.71657741261,0.1991,3.42609630108
4,4,0.1481,3.58926259327,0.2098,3.32791391134
5,5,0.16616,3.49373516607,0.2288,3.23584764719
6,6,0.18118,3.41026281548,0.242,3.16393208027
7,7,0.19178,3.33655043697,0.2588,3.06548581362
8,8,0.2078,3.26726137304,0.2734,3.00339693785
9,9,0.21604,3.21059801149,0.2796,2.95025833368
10,10,0.2241,3.16191186762,0.2923,2.87948910713
11,11,0.23484,3.10688120556,0.2879,2.88187911034
12,12,0.2408,3.06074772072,0.2969,2.82688794851
13,13,0.2518,3.01909052896,0.3142,2.74396482944
14,14,0.25758,2.97768270969,0.3212,2.69317774534
15,15,0.26528,2.93485974503,0.3316,2.66725581408
16,16,0.2689,2.91105715847,0.3342,2.63764721394
17,17,0.2771,2.87742259264,0.3354,2.62025737762
18,18,0.28238,2.83859486771,0.3503,2.55987679482
19,19,0.28656,2.81718473053,0.343,2.5814276433
20,20,0.29268,2.78373101234,0.3516,2.53611562729
21,21,0.29924,2.76159559202,0.3468,2.52642989159
22,22,0.30216,2.73033696604,0.3601,2.50462090254
23,23,0.3065,2.71298502207,0.3607,2.47065807819
24,24,0.30654,2.70106672144,0.3656,2.49050918818
25,25,0.315,2.67232774115,0.3697,2.46581467152
26,26,0.3175,2.65358640671,0.3737,2.41987217903
27,27,0.3178,2.64538275194,0.3773,2.42319238424
28,28,0.32746,2.61552310085,0.375,2.43359279156
29,29,0.33158,2.59744224024,0.3746,2.43097202778
30,30,0.33042,2.58241558409,0.3686,2.45651792288
31,31,0.3329,2.57294218683,0.3818,2.39129222989
32,32,0.33476,2.56305529547,0.3885,2.38635276556
33,33,0.33804,2.54692768192,0.3881,2.35747573376
34,34,0.344,2.52422831249,0.3962,2.32085062146
35,35,0.34398,2.51200927591,0.3912,2.33018417954
36,36,0.34656,2.50571842718,0.3861,2.36249000311
37,37,0.34928,2.50474283504,0.3992,2.30881592512
38,38,0.35058,2.48067539501,0.3891,2.32627174854
39,39,0.3534,2.46976569414,0.3957,2.31993461609
40,40,0.3582,2.45803973317,0.392,2.31813094974
41,41,0.35658,2.45654779601,0.4014,2.29716609597
42,42,0.35856,2.43453021765,0.4013,2.28900178194
43,43,0.36002,2.42529971719,0.4048,2.27103578806
44,44,0.36478,2.42195561194,0.4105,2.25536498666
45,45,0.36328,2.41051653099,0.404,2.26733296156
46,46,0.36704,2.39632960057,0.4056,2.2801906836
47,47,0.36776,2.39196815491,0.4064,2.27059729576
48,48,0.36964,2.38112378526,0.4037,2.28423546076
49,49,0.37602,2.36967972493,0.406,2.26793832302
50,50,0.3736,2.3630614903,0.4076,2.26176235437
51,0,0.37292,2.37441643715,0.4085,2.24888852239
52,1,0.37702,2.35448303246,0.4136,2.23959503174
53,2,0.3781,2.33765682817,0.4172,2.23095262527
54,3,0.37976,2.34149555063,0.4132,2.25936889529
55,4,0.3794,2.33027716756,0.4172,2.23072044015
56,5,0.38204,2.32198777986,0.406,2.24486225843
57,6,0.3826,2.3159817071,0.4186,2.23713313937
58,7,0.38716,2.30312339211,0.4059,2.26310009122
59,8,0.38688,2.29976250029,0.417,2.22065934658
60,9,0.38852,2.29156932902,0.4071,2.26352880359
61,10,0.38868,2.28915072894,0.4133,2.22655150414
62,11,0.39008,2.27718362141,0.4025,2.2697249186
63,12,0.39332,2.26404743147,0.4147,2.24480597377
64,13,0.38876,2.27358869696,0.4176,2.22577707529
65,14,0.39628,2.26078287578,0.4121,2.24264899135
66,15,0.39656,2.24897985649,0.4118,2.2653442812
67,16,0.39548,2.2423758347,0.4143,2.24216547251
68,17,0.3956,2.24159934115,0.4128,2.24478116393
69,18,0.40094,2.22868867445,0.4268,2.19059171915
70,19,0.39918,2.23112406373,0.4212,2.21738974214
71,20,0.40278,2.22201635695,0.4253,2.19410017133
72,21,0.40504,2.21596024084,0.4211,2.2177370131
73,22,0.4072,2.20505920649,0.4167,2.24239834785
74,23,0.40426,2.21186225986,0.4149,2.21070705295
75,24,0.40412,2.2006862216,0.4207,2.18497704625
76,25,0.4055,2.19814713359,0.4137,2.23256578207
77,26,0.40838,2.18299076629,0.425,2.20493887305
78,27,0.40992,2.18776582575,0.4218,2.20455976725
79,28,0.41006,2.17582743359,0.4232,2.18658231616
80,29,0.41366,2.17237223768,0.4245,2.18102340102
81,30,0.41332,2.16650503945,0.4239,2.19136061549
82,31,0.41108,2.1634653132,0.4237,2.19264515996
83,32,0.41556,2.16003961587,0.42,2.19181655526
84,33,0.41754,2.14836770582,0.4196,2.21348407745
85,34,0.4177,2.14610288644,0.421,2.19874265432
86,35,0.41902,2.14183572865,0.4233,2.18154413342
87,36,0.41874,2.12883360314,0.4279,2.17459149122
88,37,0.41808,2.13665547204,0.4235,2.19206218719
89,38,0.4205,2.12943241358,0.4246,2.18723672986
90,39,0.42124,2.11292369556,0.424,2.18440605044
91,40,0.42204,2.11892727709,0.4299,2.16819694042
92,41,0.42348,2.11869026399,0.4213,2.19391654015
93,42,0.42294,2.10679982448,0.4254,2.1730452621
94,43,0.42364,2.10599033952,0.4274,2.16982872486
95,44,0.4256,2.10239824033,0.4303,2.18054723859
96,45,0.42776,2.10623817611,0.4225,2.18846922159
97,46,0.4265,2.09031702113,0.4225,2.20941102982
98,47,0.42908,2.08231923532,0.4234,2.172054528
99,48,0.4278,2.08931354904,0.4271,2.17539019942
100,49,0.4274,2.08209462261,0.4253,2.19002500176
101,50,0.43004,2.07358450651,0.4287,2.18546103477
102,51,0.4275,2.07651383996,0.4288,2.19096778989
103,52,0.43266,2.07893636513,0.4243,2.17868412137
104,53,0.42836,2.07576649165,0.4237,2.2064122355
105,54,0.43306,2.06468488288,0.4247,2.19003843307
106,55,0.43246,2.06440087032,0.4243,2.18684813738
107,56,0.43388,2.06531427503,0.4194,2.21351051211
108,57,0.43384,2.05932425404,0.4146,2.22294888258
109,58,0.4362,2.04613239384,0.4291,2.16955648303
110,59,0.43646,2.05119738007,0.4251,2.18209131122
111,60,0.4383,2.04117298746,0.4302,2.16528861403
112,61,0.43746,2.03400588942,0.4297,2.17914480567
113,62,0.43578,2.03723530149,0.417,2.22213955045
114,63,0.43842,2.03225381231,0.4198,2.20634094715
115,64,0.44182,2.02346153617,0.4285,2.17502040148
116,65,0.44146,2.02174530959,0.426,2.19811708689
117,66,0.43952,2.03097281456,0.4143,2.21267628312
118,67,0.44164,2.02116883588,0.429,2.17638064504
119,68,0.44168,2.0174408989,0.4268,2.18470875025
120,69,0.4406,2.01575109291,0.4278,2.17913048148
121,70,0.44108,2.01621400642,0.4247,2.18495943069
122,71,0.44368,2.00826703,0.4233,2.23333760023
123,72,0.44662,2.00709841251,0.416,2.24270640612
124,73,0.44438,2.00763928342,0.4269,2.19812363029
125,74,0.44446,2.00015885782,0.4254,2.20497584462
126,75,0.44308,2.01051207733,0.4204,2.2022953546
127,76,0.44394,1.99931575084,0.4271,2.19393405318
128,77,0.4467,1.9955018425,0.4262,2.19882971406
129,78,0.45174,1.97889287901,0.4245,2.17578384757
130,79,0.4455,1.99046131444,0.4246,2.20422993898
131,80,0.45034,1.9823592298,0.4221,2.19091301322
132,81,0.44754,1.97538839531,0.4315,2.18390525699
133,82,0.449,1.97933874059,0.4315,2.17842100859
134,83,0.44932,1.96731948757,0.4303,2.17955502748
135,84,0.44976,1.97195663714,0.4294,2.19539783359
136,85,0.45192,1.96429277158,0.4266,2.21151370764
137,86,0.4513,1.9675216105,0.4205,2.20777292132
138,87,0.4515,1.96609625721,0.4254,2.20571620345
139,88,0.45214,1.95726183224,0.4225,2.19820706487
140,89,0.4486,1.97113098431,0.4279,2.19421140909
141,90,0.45322,1.9607567811,0.4238,2.2015992558
142,91,0.45464,1.95618475461,0.4211,2.20143422842
143,92,0.45082,1.9602544899,0.4238,2.20493685484
144,93,0.45274,1.96000795841,0.4201,2.22653701782
145,94,0.4548,1.93824749947,0.4265,2.20130401969
146,95,0.45462,1.94257544184,0.4242,2.20677298188
147,96,0.45708,1.94755067587,0.4306,2.1903480196
148,97,0.45566,1.93906845474,0.4288,2.19494808435
149,98,0.45694,1.9446327858,0.4264,2.20017220855
150,99,0.45846,1.93675125313,0.4283,2.19947484016
151,100,0.45738,1.93854010177,0.4314,2.20198252439
152,101,0.45594,1.93891678882,0.4242,2.21944640279
153,102,0.46268,1.93077882409,0.4262,2.22308027267
154,103,0.45768,1.93013847208,0.428,2.19966256618
155,104,0.45708,1.92204214478,0.4272,2.20785769939
156,105,0.45912,1.92869790053,0.4262,2.21612814426
157,106,0.45932,1.91894460821,0.4303,2.19695731282
158,107,0.45908,1.91891876411,0.4247,2.21410728335
159,108,0.46088,1.91793190765,0.4282,2.22000327468
160,109,0.46468,1.90979340792,0.4245,2.2039078474
161,110,0.46386,1.90848395896,0.4265,2.20480423808
162,111,0.46314,1.90789557648,0.4236,2.20512251735
163,112,0.46002,1.91686580467,0.4267,2.22382546067
164,113,0.46254,1.90836511374,0.4295,2.20496360183
165,114,0.46456,1.9004609971,0.4204,2.23288211346
166,115,0.46308,1.8995218749,0.4174,2.23518308759
167,116,0.46422,1.89915091991,0.4202,2.23313684106
168,117,0.46634,1.89414645195,0.4271,2.21614838362
169,118,0.468,1.88510541964,0.4238,2.22662949562
170,119,0.46274,1.90099115419,0.4225,2.2100842762
171,120,0.46906,1.88645661592,0.4237,2.22702026367
172,121,0.46718,1.88547073078,0.4196,2.2434379375
173,122,0.46638,1.89184259939,0.4269,2.21769594312
174,123,0.46706,1.88283129311,0.4229,2.21469168186
175,124,0.46732,1.88415833163,0.4254,2.2427485621
176,125,0.4669,1.8790870924,0.4178,2.26505438924
177,126,0.46794,1.88217962837,0.4265,2.23417950511
178,127,0.46858,1.87997407413,0.4275,2.23173479795
179,128,0.4712,1.87162774539,0.4225,2.2420418632
180,129,0.47128,1.86681833935,0.4265,2.20529998302
181,130,0.4712,1.8629548645,0.4269,2.22563985705
182,131,0.4714,1.86694337511,0.4212,2.21582158804
183,132,0.47264,1.86733147788,0.4213,2.22736082554
