,index,acc,loss,val_acc,val_loss
0,0,0.04096,4.36182969809,0.121,3.96710573673
1,1,0.09118,3.98955637026,0.1785,3.62010603666
2,2,0.12086,3.77148836708,0.2094,3.40957964659
3,3,0.14064,3.63704415083,0.2219,3.34853951454
4,4,0.1598,3.52899796772,0.2394,3.22930813789
5,5,0.17232,3.43586436939,0.259,3.14777043819
6,6,0.18738,3.34565514231,0.2619,3.07789565802
7,7,0.20004,3.25388480711,0.2836,3.00491455317
8,8,0.21288,3.1794542284,0.2805,2.98738152027
9,9,0.22716,3.09634853363,0.2953,2.89051203251
10,10,0.2381,3.0276203866,0.3011,2.84337548018
11,11,0.2484,2.95555391741,0.3046,2.83393066645
12,12,0.2612,2.88531899309,0.3091,2.79776099205
13,13,0.26998,2.82831883764,0.3102,2.78229335785
14,14,0.28532,2.75418513298,0.318,2.75607730865
15,15,0.29576,2.69226747561,0.3132,2.75401218176
16,16,0.30868,2.62615261412,0.3241,2.70741966963
17,17,0.31816,2.56006931639,0.3183,2.7361963129
18,18,0.3336,2.50763713837,0.3169,2.73929572582
19,19,0.34474,2.44352420211,0.3178,2.72377933741
20,20,0.35,2.39316583157,0.3207,2.7338251543
21,21,0.3609,2.35062038445,0.322,2.7279426837
22,22,0.37006,2.29680288005,0.3223,2.74919333458
23,0,0.38002,2.25561720061,0.319,2.75484651089
24,1,0.38884,2.20083209538,0.3193,2.75832473993
25,2,0.40064,2.15371791816,0.3125,2.78883239508
26,3,0.407,2.11841363358,0.3135,2.80474882364
27,4,0.41558,2.0752601831,0.3208,2.79430322886
28,5,0.4246,2.0358100698,0.3227,2.8153903842
29,6,0.43106,2.01114013338,0.3221,2.83561776638
30,7,0.43816,1.98484764957,0.3166,2.83700158358
31,8,0.4482,1.93966982985,0.3167,2.87377209663
32,9,0.4518,1.91705839515,0.3194,2.84850364208
33,10,0.4591,1.88662176919,0.3216,2.8849285078
34,11,0.46526,1.84587277722,0.3175,2.89005077362
35,12,0.47152,1.81837581372,0.3188,2.87553247213
36,13,0.48112,1.78530988526,0.3139,2.9353975606
37,14,0.48888,1.74809744596,0.3192,2.95607136011
38,15,0.4947,1.73145115185,0.322,2.9807050395
39,16,0.4992,1.70794375753,0.314,2.96901653051
40,17,0.50868,1.67953139448,0.3147,2.99619347572
41,18,0.5153,1.65078799844,0.3136,2.95252161741
42,19,0.5192,1.63207038331,0.3202,3.03800030947
43,20,0.527,1.60545967412,0.315,3.03467484713
44,21,0.53144,1.57977730942,0.3201,3.01702800512
45,22,0.53528,1.56709019256,0.3225,3.09029568195
46,23,0.54444,1.53270123243,0.3142,3.0627803278
47,24,0.55138,1.51417429137,0.3222,3.12760907173
48,25,0.55252,1.49043783259,0.3164,3.11655357599
49,26,0.55938,1.47252789736,0.3203,3.07591683149
50,27,0.5652,1.45654825473,0.3173,3.15605320454
51,28,0.57354,1.42582669723,0.3159,3.13434909582
52,29,0.5712,1.42006982064,0.3163,3.13824040651
53,30,0.5807,1.3946066854,0.32,3.21132296801
54,31,0.5832,1.38758367372,0.3193,3.16167838812
55,32,0.58638,1.36956664276,0.317,3.29045742989
56,33,0.58764,1.35241535819,0.3174,3.18121843576
57,34,0.59562,1.33031312418,0.3156,3.19220325708
58,35,0.60146,1.31773929572,0.3165,3.20654888868
59,36,0.59996,1.31629435778,0.3152,3.28546264887
60,37,0.60922,1.29144405985,0.3228,3.34461188555
61,38,0.60938,1.28417140687,0.319,3.32118299961
62,39,0.6075,1.2811825484,0.3127,3.25160900354
63,40,0.6164,1.26200972044,0.32,3.3910084033
64,41,0.61474,1.26546314764,0.3209,3.47924447775
65,42,0.62242,1.24144214845,0.3169,3.30316540241
66,43,0.62358,1.2258839401,0.3216,3.38071637392
67,44,0.629,1.21479288161,0.3121,3.22257977009
68,45,0.62764,1.21396642387,0.3185,3.46258574247
69,46,0.63608,1.18873295438,0.315,3.35373951674
70,47,0.63506,1.18231697738,0.3137,3.32284486055
71,48,0.63472,1.18629190814,0.3165,3.43317903757
72,49,0.6393,1.17470764542,0.3169,3.39667489767
73,50,0.64202,1.1691689837,0.3186,3.40932573318
74,51,0.64466,1.1504265101,0.3187,3.44419489861
75,52,0.65032,1.13939101028,0.318,3.3275255394
76,53,0.64998,1.13292755926,0.3174,3.41813080549
77,54,0.65492,1.12888832283,0.3184,3.45248145342
78,55,0.6615,1.10464552784,0.3128,3.34509659052
79,56,0.66094,1.10550064909,0.318,3.44501555204
80,57,0.66018,1.10062988389,0.3177,3.42506533146
81,58,0.66562,1.09049456143,0.3193,3.60272251129
82,59,0.6656,1.08468727255,0.3152,3.4348674345
83,60,0.67048,1.07365065777,0.3172,3.48906008482
84,61,0.6794,1.04912549901,0.3203,3.53083833218
85,62,0.6768,1.05617849004,0.3204,3.58796058178
