,index,acc,loss,val_acc,val_loss
0,0,0.20542,2.57361743803,0.3103,2.23473458767
1,1,0.30764,2.25687375331,0.3702,2.04154140949
2,2,0.35196,2.1069409277,0.4135,1.92140233588
3,3,0.38366,2.00290976529,0.4345,1.84637533903
4,4,0.40464,1.92786321359,0.4545,1.7816014514
5,5,0.4247,1.85920712128,0.4726,1.72800580835
6,6,0.43622,1.8141841166,0.4865,1.68214381552
7,7,0.44818,1.7680360374,0.4908,1.64814644063
8,8,0.4621,1.73011631024,0.4832,1.67139515269
9,9,0.47284,1.69636540875,0.5047,1.59045498967
10,10,0.48002,1.66654377453,0.5051,1.6064543761
11,11,0.48534,1.64197006357,0.5171,1.56156498206
12,12,0.49354,1.6155049243,0.5042,1.59727879786
13,13,0.49946,1.59956028438,0.5158,1.57450522864
14,14,0.50698,1.57904694452,0.5233,1.52760959458
15,15,0.51136,1.55381252508,0.5211,1.550578789
16,16,0.51722,1.53648265584,0.5228,1.53038002682
17,17,0.52246,1.52533998847,0.5344,1.4963712846
18,18,0.52324,1.50566518519,0.5288,1.51971142817
19,19,0.53154,1.48166147556,0.5239,1.52163997281
20,20,0.5378,1.4670770277,0.5335,1.50683961308
21,21,0.53998,1.45258845088,0.5311,1.50066476774
22,22,0.54076,1.44875643237,0.5474,1.46457473314
23,23,0.54496,1.43655298913,0.5463,1.48238835096
24,24,0.54678,1.42582520926,0.5377,1.48202150822
25,25,0.55386,1.40893878448,0.5445,1.4686089313
26,26,0.5551,1.39848650934,0.5423,1.4816876359
27,27,0.55892,1.38790697768,0.5462,1.45814435887
28,28,0.55944,1.38035112464,0.5454,1.46658396816
29,29,0.56052,1.37510113556,0.5444,1.46399028826
30,30,0.56196,1.36406417565,0.5419,1.48205397081
31,31,0.56982,1.35471326393,0.5505,1.45633542407
32,32,0.57454,1.34529195597,0.5456,1.4683737123
33,33,0.57482,1.32964516565,0.5443,1.44510795701
34,34,0.57558,1.32394138887,0.5521,1.45641000938
35,35,0.57304,1.32852598014,0.5504,1.46716773903
36,36,0.57916,1.31133872397,0.5485,1.44705871785
37,37,0.58068,1.3079571876,0.544,1.45765384233
38,38,0.58182,1.30048949997,0.5503,1.46380967343
39,39,0.58448,1.29794454141,0.5502,1.45054414308
40,40,0.58896,1.27523152486,0.5489,1.44657156658
41,41,0.58762,1.27894897968,0.5561,1.43612408221
42,42,0.59094,1.27259493715,0.5539,1.43559548092
43,43,0.59098,1.26875842891,0.5527,1.43668708515
44,44,0.59354,1.25887451487,0.5511,1.44428508985
45,45,0.59314,1.25610296308,0.5544,1.44156275332
46,46,0.59826,1.24780753503,0.5498,1.43935313034
47,47,0.59644,1.24628393875,0.5542,1.43293151379
48,48,0.59752,1.2370571565,0.5532,1.44891002238
49,49,0.60106,1.23621418595,0.5479,1.44181192362
50,50,0.6,1.23118675858,0.5527,1.43127207291
