,index,acc,loss,val_acc,val_loss
0,0,0.14228,2.72374228535,0.2053,2.54255831146
1,1,0.24068,2.42616293902,0.2825,2.29650736284
2,2,0.3096,2.2255301774,0.3504,2.07640229559
3,3,0.3535,2.07579673824,0.3845,1.94669144034
4,4,0.39044,1.96449432993,0.4227,1.84895846176
5,5,0.41802,1.87579193664,0.4391,1.7932794795
6,6,0.44084,1.80517162204,0.4404,1.8165601685
7,7,0.46038,1.7372375051,0.4606,1.72551145697
8,8,0.47712,1.68066627707,0.4715,1.69749986517
9,9,0.49764,1.61657530868,0.4733,1.69863497758
10,10,0.51156,1.56920647602,0.4773,1.69813802755
11,11,0.52498,1.52525165684,0.499,1.63675307453
12,12,0.53918,1.47651417346,0.4948,1.64640578794
13,13,0.5548,1.43344295878,0.4947,1.65344816995
14,14,0.56556,1.39317717109,0.4985,1.65916290164
15,15,0.57796,1.35765781484,0.501,1.66481599975
16,16,0.58752,1.3200115268,0.5095,1.61603713667
17,17,0.59894,1.28658637438,0.5088,1.668182019
18,18,0.60746,1.25667788641,0.5103,1.65660732806
19,19,0.6202,1.21455603901,0.518,1.64539967477
20,20,0.62394,1.19653292251,0.5112,1.6819570334
21,21,0.63436,1.16697951071,0.5096,1.72238393807
22,22,0.64232,1.13279720486,0.5109,1.73581098461
23,23,0.65258,1.11324678712,0.5146,1.74741193271
24,24,0.65962,1.0854677659,0.5121,1.75129030442
25,25,0.66464,1.05720427686,0.5112,1.75908679676
26,0,0.66872,1.04365764052,0.5189,1.77938563192
27,1,0.6783,1.01742300637,0.5149,1.85220478761
28,2,0.6818,1.00007930112,0.5164,1.82319608998
29,3,0.68926,0.982642245179,0.5139,1.8685524112
30,4,0.69266,0.971698112726,0.5084,1.87028690743
31,5,0.70056,0.939501794004,0.5023,1.92363433802
32,6,0.706,0.920208679754,0.51,1.94070016146
33,7,0.7104,0.909041819614,0.5081,1.99562548947
34,8,0.71352,0.891788362992,0.5085,2.00784363294
35,9,0.7214,0.874402998561,0.5105,1.99263790745
36,10,0.72626,0.862067903769,0.5012,2.01071890855
37,11,0.7288,0.849374153996,0.5093,2.08650900364
38,12,0.73476,0.824545891273,0.5037,2.11873152137
39,13,0.73704,0.813223928198,0.5112,2.09305663586
40,14,0.74444,0.800478974366,0.508,2.20092267632
41,15,0.74378,0.797387216967,0.5044,2.1759439317
42,16,0.747,0.779513251483,0.5086,2.20388792515
43,17,0.7532,0.767127146018,0.5025,2.2532869401
44,18,0.76164,0.741462210122,0.5029,2.26468798983
45,19,0.76078,0.742314358422,0.5015,2.29793074608
46,20,0.76658,0.726456234437,0.4987,2.31824059922
47,21,0.77042,0.716586897784,0.4998,2.35675681299
48,22,0.77524,0.69496941537,0.5054,2.45186973548
49,23,0.77722,0.689377469966,0.5072,2.46362004423
50,24,0.78022,0.681109251206,0.4987,2.44106413877
51,25,0.78228,0.676766311896,0.5031,2.49341781843
52,26,0.78694,0.666271757933,0.502,2.55064108932
53,27,0.78918,0.655005715564,0.5011,2.53308210087
54,28,0.7897,0.64843816672,0.4922,2.52997715771
55,29,0.79058,0.648485112816,0.4991,2.60228003657
56,30,0.79614,0.629963776274,0.4956,2.61021686041
57,31,0.80014,0.622335763256,0.4982,2.56855817473
58,32,0.80222,0.617261577481,0.4983,2.68540810466
59,33,0.80594,0.600869744688,0.4837,2.78580732822
60,34,0.80468,0.60418560819,0.5032,2.6857939229
61,35,0.80836,0.586149452509,0.4923,2.71756149411
62,36,0.81414,0.576445990511,0.4937,2.79247960901
63,37,0.81408,0.575655373642,0.4942,2.7924417721
64,38,0.81732,0.573660687356,0.4908,2.88066863418
65,39,0.81948,0.559142630599,0.4888,2.88465227407
66,40,0.81958,0.558925311446,0.4978,2.87729050612
67,41,0.82114,0.551139654471,0.4995,2.90383711088
68,42,0.82568,0.544052141035,0.4936,2.88046763563
69,43,0.82442,0.541003597987,0.4924,2.99499850738
70,44,0.82696,0.533907970135,0.4934,2.95609402728
71,45,0.82904,0.529559179209,0.4946,3.02555411899
72,46,0.83124,0.52859053289,0.4899,3.01761702812
73,47,0.8313,0.516816838874,0.4921,3.0370571878
74,48,0.83676,0.508246867504,0.4896,3.07897466588
75,49,0.83724,0.500605202988,0.492,3.17943627024
76,50,0.83548,0.509879727633,0.4942,3.09747237289
77,51,0.84002,0.493323278105,0.4959,3.14120090497
