,index,acc,loss,val_acc,val_loss
0,0,0.21602,2.54798102717,0.3196,2.23941954541
1,1,0.30146,2.27773999548,0.3645,2.09914522481
2,2,0.34244,2.14296168623,0.4035,1.94836910915
3,3,0.36942,2.05141600447,0.4287,1.88237484217
4,4,0.39382,1.96618273673,0.4482,1.8063761909
5,5,0.40748,1.91168489051,0.4513,1.79422874486
6,6,0.42402,1.86043004584,0.4682,1.73170584631
7,7,0.43474,1.8180878634,0.4795,1.69390396118
8,8,0.44738,1.78221567678,0.487,1.65238981664
9,9,0.45364,1.7565025032,0.4909,1.65319325459
10,10,0.46242,1.72298211112,0.4941,1.64076236045
11,11,0.46894,1.69568094254,0.5009,1.61424535584
12,12,0.47908,1.67283292005,0.5041,1.59767485881
13,13,0.48644,1.64710641305,0.5122,1.58613603926
14,14,0.4888,1.6306801703,0.5043,1.61343567359
15,15,0.4961,1.61058503079,0.5153,1.56149442458
16,16,0.4998,1.59835493474,0.522,1.53360493982
17,17,0.50422,1.57600251474,0.5215,1.53729150593
18,18,0.50914,1.56195203876,0.5244,1.542782341
19,19,0.51176,1.54688580565,0.5293,1.50411443174
20,20,0.5153,1.53738889499,0.5203,1.53223032629
21,21,0.51922,1.52255914817,0.5305,1.50490442109
22,22,0.52472,1.50759386756,0.5213,1.5365026232
23,23,0.53158,1.48562234652,0.5281,1.50592126679
24,24,0.53202,1.48349884734,0.5296,1.5103923912
25,25,0.53628,1.46048296757,0.5319,1.49588067901
26,26,0.53776,1.45750349877,0.5258,1.50881864643
27,27,0.54012,1.44415700045,0.5385,1.48147153223
28,28,0.544,1.43071853728,0.5402,1.47472233891
29,29,0.54676,1.42755329459,0.5393,1.47496186936
30,30,0.55032,1.41728539228,0.5353,1.4785807035
31,31,0.55354,1.40702983344,0.5383,1.47488914478
32,32,0.55404,1.39426603317,0.5368,1.49310755348
33,33,0.5594,1.38697518556,0.5396,1.47747333121
34,34,0.55946,1.38275976696,0.5337,1.49173137963
35,0,0.55768,1.38056796745,0.5409,1.47064775884
36,1,0.56152,1.36969200379,0.5516,1.44606442451
37,2,0.56578,1.36335224519,0.5429,1.47416644382
38,3,0.56896,1.35352452978,0.5443,1.46736102557
39,4,0.56654,1.34857361293,0.5479,1.45284290099
40,5,0.5714,1.33483505394,0.5421,1.4595620023
41,6,0.57404,1.32758784721,0.5314,1.52402180231
42,7,0.57454,1.32558450642,0.5315,1.50325811076
43,8,0.57392,1.32390718341,0.5428,1.4641704998
44,9,0.57494,1.31386459787,0.5467,1.45579765296
45,10,0.5821,1.31235994947,0.5438,1.47680567741
46,11,0.5818,1.30083625492,0.5437,1.46212953424
47,12,0.58118,1.30306685154,0.5484,1.4594630971
48,13,0.5862,1.29175956435,0.5451,1.46012556827
49,14,0.5845,1.29035835246,0.5398,1.49126093853
50,15,0.58616,1.28647946057,0.5434,1.46744616663
51,16,0.58626,1.28442225428,0.5405,1.46181853831
52,17,0.58878,1.27395200312,0.5483,1.45035294354
53,18,0.58866,1.27689842305,0.5484,1.46455797505
54,19,0.59162,1.26511104023,0.549,1.45677841735
55,20,0.59402,1.25559930608,0.5468,1.45812184858
56,21,0.5924,1.2561412186,0.5532,1.44671917963
57,22,0.59478,1.25696149113,0.5503,1.46532996428
58,23,0.5944,1.25133169768,0.5429,1.46030309916
59,24,0.5944,1.25248399159,0.5493,1.4461738317
60,25,0.59912,1.24174283994,0.5478,1.46072857964
61,26,0.6014,1.2295689703,0.5452,1.45630729759
62,27,0.59948,1.23446023016,0.5495,1.45634023941
63,28,0.6017,1.22676842096,0.5501,1.4611262666
64,29,0.6024,1.23260044245,0.552,1.48431192428
65,30,0.6049,1.21352210432,0.5486,1.46282683921
