,index,acc,loss,val_acc,val_loss
0,0,0.22274,2.52554784231,0.3447,2.19009266448
1,1,0.31472,2.23474569154,0.3819,2.00491175961
2,2,0.3531,2.0969783793,0.4201,1.87916357565
3,3,0.38244,1.99750345564,0.4473,1.79400707281
4,4,0.40554,1.92093792996,0.4645,1.76126066351
5,5,0.4181,1.8650430768,0.4754,1.70270676732
6,6,0.4342,1.81658137767,0.485,1.67911540055
7,7,0.4528,1.76772610745,0.4916,1.65262281132
8,8,0.46272,1.73302663612,0.4904,1.6500861156
9,9,0.46988,1.69498497078,0.5057,1.586472363
10,10,0.47858,1.67133237844,0.511,1.56848561263
11,11,0.48546,1.64069650221,0.5101,1.57914903522
12,12,0.4938,1.61510953956,0.5174,1.5518926785
13,13,0.50572,1.58435758302,0.5287,1.53312089145
14,14,0.5082,1.56822515585,0.5241,1.53899202216
15,15,0.51338,1.54243679094,0.5205,1.55030568004
16,16,0.52068,1.52173617842,0.5359,1.48859887731
17,17,0.52768,1.49744390116,0.5339,1.49710364878
18,18,0.5296,1.48764962697,0.538,1.47463843918
19,19,0.53644,1.46834781947,0.5421,1.46864676106
20,20,0.54346,1.44548040001,0.5431,1.48250687361
21,21,0.54652,1.43376493168,0.5391,1.4800755049
22,22,0.54822,1.4223260103,0.5393,1.4624822669
23,23,0.5493,1.41658477695,0.5443,1.4575608747
24,24,0.55542,1.39383849721,0.5499,1.42874618459
25,25,0.55838,1.39274762733,0.5444,1.44107479715
26,26,0.56114,1.36993365762,0.5488,1.43662720871
27,27,0.56516,1.36679765234,0.5561,1.4300075562
28,28,0.56584,1.34913876295,0.5551,1.4313207432
29,29,0.56924,1.34568482513,0.5529,1.44176059318
30,30,0.57416,1.32796666301,0.5525,1.43757228363
31,31,0.57792,1.31628623908,0.55,1.43326095605
32,32,0.58186,1.30669938107,0.5499,1.44202497232
33,33,0.57874,1.30296929939,0.5501,1.44678273952
34,0,0.5846,1.29515319237,0.5528,1.43055619466
35,1,0.58618,1.28462075249,0.5556,1.42521546423
36,2,0.58954,1.28069652593,0.5508,1.42793593729
