,index,acc,loss,val_acc,val_loss
0,0,0.933566666667,0.220087858284,0.9834,0.0511286380425
1,1,0.972216666667,0.0922953831212,0.9878,0.0359736271147
2,2,0.97985,0.0680356113962,0.99,0.0299824994072
3,3,0.982533333333,0.0580925911824,0.9889,0.0324129171002
4,4,0.98445,0.0510910455735,0.9913,0.0248940615875
5,5,0.985833333333,0.0455062574837,0.9906,0.0252498659164
6,6,0.987516666667,0.041006505543,0.9923,0.0219345336596
7,7,0.9879,0.0388452412817,0.9917,0.0240535735836
8,8,0.98925,0.036447494392,0.9926,0.023541326298
9,9,0.989633333333,0.0335899605529,0.993,0.0223887430165
10,10,0.99005,0.0335210410457,0.9928,0.0215184035553
11,11,0.990983333333,0.0288863409586,0.9934,0.0206716453768
12,12,0.99075,0.0300530702261,0.9927,0.022225201419
13,13,0.992,0.028244868419,0.9922,0.0236794444099
14,14,0.99155,0.0265115148726,0.9937,0.0206191225173
15,15,0.992533333333,0.0252247443374,0.9933,0.0199209276688
16,16,0.99265,0.0233919130643,0.9931,0.0200503912388
17,17,0.9927,0.0240346371879,0.9928,0.0220668519998
18,18,0.993283333333,0.022804639137,0.9939,0.0207746442096
19,19,0.993716666667,0.0210552834706,0.9934,0.0228432139382
20,20,0.99285,0.0231080893927,0.9938,0.01960835224
21,21,0.99325,0.0215249144623,0.9937,0.0213673477662
22,22,0.9933,0.0211372335897,0.9928,0.0241738974302
23,23,0.994,0.0208722909323,0.9936,0.0238125335032
24,24,0.993616666667,0.0209854994651,0.994,0.0257276138016
25,25,0.99355,0.0200579247088,0.9925,0.0257470661137
26,26,0.994116666667,0.0196431195504,0.9932,0.0248951059887
27,27,0.99425,0.0187008852311,0.9942,0.0236493102933
28,28,0.9937,0.0201112570273,0.9928,0.0236873898167
29,29,0.994266666667,0.019550940934,0.993,0.0286257723169
30,30,0.99385,0.0201343139135,0.9932,0.0235818297861
31,31,0.994383333333,0.0183404230834,0.9933,0.0258752976013
32,32,0.994516666667,0.0186146722411,0.9942,0.0203411591817
33,33,0.9948,0.0178394705012,0.9944,0.0227711406266
34,34,0.9948,0.0182392882154,0.9944,0.0249480734785
35,35,0.994316666667,0.0185657712113,0.9936,0.023868161277
36,36,0.994266666667,0.0186799368755,0.9931,0.0301329674018
37,37,0.9944,0.019224463908,0.9934,0.0223115687251
38,38,0.9939,0.0200924692805,0.9932,0.0266985370596
39,39,0.993716666667,0.0208857993409,0.9944,0.0220211793286
40,40,0.994433333333,0.0187824038593,0.9942,0.0227937136277
41,41,0.994566666667,0.0190452060552,0.9944,0.0252367104743
42,42,0.994483333333,0.0197145964613,0.9937,0.0236163625266
43,43,0.994483333333,0.0188873458492,0.9939,0.0247809655088
44,44,0.994516666667,0.0197003244941,0.9942,0.0234363407416
45,45,0.994283333333,0.0198411248922,0.9931,0.0263809140449
46,46,0.993916666667,0.0211277941328,0.9931,0.0285223243683
47,47,0.994266666667,0.0201585544884,0.9936,0.0259538544981
48,48,0.994116666667,0.0212272118819,0.994,0.0263177398918
49,49,0.994383333333,0.0195010464608,0.994,0.0253360873564
50,50,0.99465,0.0196400396797,0.9936,0.0252881739321
51,51,0.9944,0.0191804529515,0.9938,0.0289061022583
52,52,0.994383333333,0.0189193987957,0.9947,0.0270386078493
53,53,0.994,0.0203795518578,0.9932,0.0333857974805
54,54,0.994416666667,0.0204173688459,0.9947,0.0286388685216
55,55,0.994283333333,0.0203249744611,0.9937,0.0279864338244
56,56,0.9941,0.0210866253079,0.9934,0.0277438216807
57,57,0.994283333333,0.0193163323735,0.9937,0.0282975716888
58,58,0.994933333333,0.019190540968,0.9931,0.031407638526
59,59,0.994383333333,0.0209573085482,0.992,0.0366091874033
60,60,0.993933333333,0.0205336216144,0.9937,0.0270360268553
61,61,0.994683333333,0.0205184624479,0.994,0.02844020004
62,62,0.9943,0.0202583439128,0.9938,0.0244752033474
63,63,0.99415,0.0210770751566,0.9943,0.0265034020378
64,64,0.994966666667,0.0189930412667,0.9935,0.0292304372809
65,65,0.993983333333,0.0211637142409,0.9937,0.0300422928391
66,66,0.994283333333,0.0210457736026,0.9935,0.0303012655148
67,67,0.994683333333,0.01993222395,0.9933,0.033549957779
68,68,0.9944,0.0220533825348,0.994,0.0317494252644
69,69,0.99425,0.0211894281634,0.9938,0.0276113444754
70,70,0.993816666667,0.0217615330772,0.9932,0.0318663709439
71,71,0.99425,0.0216194038254,0.9936,0.0413457576355
72,72,0.994316666667,0.0202574542083,0.993,0.0354424367595
73,73,0.994283333333,0.0228790988869,0.9942,0.0280802037264
74,74,0.993816666667,0.0226758788784,0.9932,0.0284467459258
75,75,0.993816666667,0.0230088196062,0.993,0.0335790018073
76,76,0.994266666667,0.0233826248051,0.9936,0.0354699738462
77,77,0.994016666667,0.0234784150096,0.9939,0.0286235446167
78,78,0.99405,0.0237677053349,0.994,0.0311870086727
79,79,0.994316666667,0.0215631761931,0.9932,0.0368012196656
80,80,0.994,0.0225120624041,0.9938,0.0255779342924
81,81,0.99435,0.0215932893951,0.9929,0.0413617124256
82,82,0.993866666667,0.0218498144446,0.9928,0.0282936762958
83,83,0.993983333333,0.0220063805325,0.9938,0.0281701624719
84,84,0.993833333333,0.0225322198777,0.9935,0.029800919872
85,85,0.9942,0.0217991967192,0.9935,0.0389095315285
86,86,0.99405,0.0209204957493,0.9938,0.0286250583153
87,87,0.993933333333,0.022239813354,0.9927,0.0369550849938
88,88,0.994766666667,0.0208931927268,0.9931,0.0301574687136
89,89,0.994016666667,0.0223823498804,0.9934,0.0291954640426
90,90,0.993733333333,0.02441612313,0.9924,0.0328124191448
91,91,0.99405,0.0224771124764,0.9927,0.0345588855787
92,92,0.99405,0.0219820294447,0.9931,0.0315808993821
93,93,0.99425,0.0225732124351,0.9922,0.0309557856098
94,94,0.993866666667,0.0241584701005,0.9929,0.0342523636254
95,95,0.9943,0.0235184714129,0.9929,0.0373470731773
96,96,0.993866666667,0.0236205457738,0.9928,0.0315286711548
97,97,0.994433333333,0.0205311876473,0.9931,0.0343085509536
98,98,0.99415,0.0226467249487,0.9931,0.0347832770597
99,99,0.994166666667,0.0225650023769,0.9928,0.0371749753349
100,100,0.994066666667,0.0230649347454,0.9935,0.0341173025629
101,101,0.994,0.0224414468282,0.9931,0.0321800251752
102,102,0.993733333333,0.0247423573563,0.9926,0.0312901848808
103,103,0.994316666667,0.0232075687754,0.9923,0.03359730884
