,index,acc,loss,val_acc,val_loss
0,0,0.880316666667,0.379958891751,0.9751,0.0855141618084
1,1,0.958183333333,0.145768252361,0.9816,0.0641973340842
2,2,0.9691,0.111484912509,0.9831,0.0544044900824
3,3,0.97545,0.0876087362463,0.985,0.0506222166696
4,4,0.9781,0.0760065178909,0.983,0.0609509280454
5,5,0.980883333333,0.0670463566281,0.9854,0.0464603400755
6,6,0.982316666667,0.0617658155636,0.9871,0.0459634634466
7,7,0.9837,0.0581606704512,0.9851,0.0510581248685
8,8,0.986483333333,0.0495727642855,0.9873,0.049443500493
9,9,0.987316666667,0.0446437744423,0.9858,0.0494164850018
10,10,0.986933333333,0.0451544855048,0.9863,0.0496985894326
11,11,0.987333333333,0.0414448205504,0.9875,0.0452380780016
12,12,0.988866666667,0.0382169504311,0.9881,0.049869346683
13,13,0.9898,0.0362028077301,0.9875,0.0518547128946
14,14,0.990266666667,0.035292935632,0.9882,0.0448983765564
15,15,0.990916666667,0.0321661897975,0.9874,0.0540652601459
16,16,0.990566666667,0.0341877975823,0.9871,0.0514592998964
17,17,0.991816666667,0.0295454046224,0.9869,0.0539589710152
18,18,0.991416666667,0.0287365652255,0.9878,0.0486921093641
19,19,0.992066666667,0.0286470273628,0.9891,0.0453357363784
20,20,0.992283333333,0.0259537153431,0.9881,0.0588818315802
21,21,0.9921,0.0272137855991,0.9895,0.0490442544551
22,22,0.992733333333,0.0248234399171,0.9894,0.049978107289
23,23,0.993533333333,0.0232706881507,0.9882,0.0551129310086
24,24,0.993,0.0234102100458,0.9892,0.0534614904523
25,25,0.993533333333,0.0215822677359,0.9872,0.0614281836576
26,26,0.993383333333,0.0222020424102,0.9879,0.0535373417326
27,27,0.9937,0.0220439905236,0.988,0.0637976852402
28,0,0.9934,0.0221491593018,0.9876,0.055272231598
29,1,0.99385,0.0213116305187,0.9891,0.0563717153491
30,2,0.9939,0.0215527391376,0.9889,0.0547336210229
31,3,0.993916666667,0.0214439159284,0.9892,0.0558153251296
