,index,acc,loss,val_acc,val_loss
0,0,0.928416666667,0.233699202012,0.9819,0.0594093287068
1,1,0.972483333333,0.0931593709774,0.9862,0.0431546309548
2,2,0.978966666667,0.0705622115987,0.9887,0.0350819815888
3,3,0.982966666667,0.0548896612257,0.9888,0.0295137459688
4,4,0.985033333333,0.0503726329669,0.9892,0.0297125649661
5,5,0.986083333333,0.0453645519112,0.9905,0.0282638386928
6,6,0.98845,0.037853836932,0.9909,0.0259114783263
7,7,0.98845,0.0393362844391,0.9925,0.0226196503539
8,8,0.98875,0.0365291110707,0.9913,0.0242164879906
9,9,0.989366666667,0.0336313205828,0.9921,0.0245932080397
10,10,0.9908,0.029980998916,0.9932,0.022278829929
11,11,0.990916666667,0.0285218672322,0.9925,0.0224549506525
12,12,0.991083333333,0.02957547902,0.9932,0.0229555969725
13,13,0.992033333333,0.0264040344039,0.9933,0.0216665922711
14,14,0.99195,0.0257971499071,0.9934,0.0217005810012
15,15,0.992583333333,0.0239258401414,0.9936,0.0206589857556
16,16,0.993066666667,0.0235064457887,0.9938,0.0204023134112
17,17,0.993366666667,0.022082095238,0.9937,0.0213757353038
18,18,0.992983333333,0.0233731013193,0.994,0.0207049032448
19,19,0.993883333333,0.0204014313924,0.9939,0.0218983069386
20,20,0.993666666667,0.0198182472214,0.9937,0.0218304683481
21,21,0.994,0.0204128726464,0.9935,0.0221469018635
22,22,0.99415,0.0197299836203,0.9944,0.0216596015717
23,23,0.993783333333,0.0195558113717,0.9941,0.021871163762
24,24,0.994616666667,0.0172271553878,0.9945,0.0205278835711
25,25,0.994666666667,0.0174686525089,0.994,0.023409847787
26,26,0.9941,0.0195540997146,0.9943,0.0214609010649
27,27,0.994466666667,0.0175467867253,0.9939,0.0219356242416
28,28,0.994683333333,0.0174742542007,0.9941,0.0231648448164
29,29,0.994866666667,0.0175283304039,0.9938,0.0225646250154
30,30,0.9946,0.0180365629516,0.9944,0.0235746756915
31,0,0.994583333333,0.0177279720044,0.9944,0.0213228079259
32,1,0.9949,0.0173923516279,0.9934,0.0225582529051
33,2,0.994966666667,0.0157882383857,0.9941,0.0217945856916
34,3,0.994833333333,0.0163744556478,0.9945,0.0210222759992
35,4,0.995166666667,0.0166514041161,0.9946,0.0223075453641
36,5,0.995216666667,0.0153838487044,0.9947,0.022666993207
37,6,0.99515,0.0161694927413,0.9943,0.0240076046131
38,7,0.994666666667,0.0169186771332,0.994,0.0239870937346
39,8,0.99495,0.0163524950356,0.9939,0.0234513952758
40,9,0.9953,0.0158894447765,0.9939,0.029566946034
41,10,0.995433333333,0.0157460704986,0.9934,0.02389470727
42,11,0.995766666667,0.01437090985,0.9944,0.0224430291052
43,12,0.99555,0.0154576100616,0.995,0.0202691388518
44,13,0.995516666667,0.0151588632921,0.9939,0.0254962095518
45,14,0.99515,0.0153712833441,0.9947,0.0215026621772
46,15,0.995266666667,0.0151060933342,0.9942,0.0268452856993
47,16,0.9954,0.0150257961863,0.9941,0.0287719860763
48,17,0.99555,0.014762907243,0.9949,0.0256582695663
49,18,0.99525,0.0160079528408,0.9946,0.0274871553181
50,19,0.995566666667,0.0155811605539,0.9952,0.02214477861
51,20,0.995616666667,0.0159930793501,0.994,0.0231745374715
52,21,0.9952,0.0154541082188,0.9939,0.0248018303839
53,22,0.994883333333,0.0172745214276,0.9942,0.0245263033866
54,23,0.995883333333,0.014585399039,0.9936,0.0277594364676
55,24,0.995133333333,0.0162789929785,0.9937,0.024722196014
56,25,0.995233333333,0.0157914243083,0.9944,0.0254561419927
57,26,0.995733333333,0.0146159578707,0.9946,0.0273010057153
58,27,0.995333333333,0.0158337844813,0.9944,0.0215409381351
59,28,0.995566666667,0.0165993615296,0.9939,0.0239680395708
60,29,0.995366666667,0.0163730297562,0.9943,0.0252266069786
61,30,0.99555,0.0151506541099,0.994,0.0235322690075
62,31,0.9951,0.017063302632,0.9942,0.0267726394382
63,32,0.995133333333,0.0157310059227,0.9938,0.025966219456
64,33,0.995233333333,0.0172701398045,0.9933,0.0279327768098
65,34,0.995566666667,0.0166217416268,0.9946,0.0292276696254
66,35,0.994716666667,0.0170724287525,0.9939,0.0243406512673
67,36,0.994866666667,0.0188225261377,0.9939,0.0239450302597
68,37,0.99515,0.0164580856062,0.9939,0.0235265774119
69,38,0.994533333333,0.0183254098056,0.9941,0.0216676102501
70,39,0.995416666667,0.0160190312715,0.9942,0.0279729807873
71,40,0.995133333333,0.018092717025,0.9937,0.0334235985481
72,41,0.995633333333,0.0151671342949,0.9942,0.0311255387951
73,42,0.995666666667,0.0161577009476,0.9939,0.0250917232025
74,43,0.994933333333,0.0182003160513,0.9946,0.0250147478144
75,44,0.995033333333,0.0182701976111,0.9938,0.0241005851989
76,45,0.995166666667,0.0179054196854,0.9944,0.0232111048293
77,46,0.995483333333,0.0159794227208,0.9943,0.0221801407203
78,47,0.995216666667,0.0171342652585,0.9944,0.0282680871419
79,48,0.994833333333,0.0181427397715,0.9944,0.024989290951
80,49,0.995016666667,0.0173122859981,0.9943,0.0222888175286
81,50,0.99485,0.0176010229952,0.9948,0.0225771153137
82,51,0.995216666667,0.0161726147835,0.9941,0.0212324431515
83,52,0.995066666667,0.0175178295918,0.9932,0.0326304318138
84,53,0.995133333333,0.0184192975828,0.9941,0.0281572528083
85,54,0.994816666667,0.0186787305681,0.9942,0.0239916999276
86,55,0.994716666667,0.0186543815465,0.9939,0.0316675054456
87,56,0.995466666667,0.0172687465374,0.9937,0.0270826033329
88,57,0.994866666667,0.0173869102571,0.9942,0.0259580992225
89,58,0.994966666667,0.0185291724696,0.9952,0.0263620189732
90,59,0.9943,0.019679723874,0.9939,0.0263449090284
91,60,0.995183333333,0.016946293595,0.9941,0.0310669975299
92,61,0.994233333333,0.021802719687,0.994,0.028058370978
93,62,0.9947,0.0189683898844,0.9934,0.027310661967
94,63,0.994716666667,0.0206244434906,0.9937,0.0244510568479
95,64,0.995166666667,0.0179078299526,0.9936,0.0275337180691
96,65,0.995116666667,0.019253351865,0.9935,0.0320673830814
97,66,0.99455,0.0196460889514,0.9939,0.0272527121608
