,index,acc,loss,val_acc,val_loss
0,0,0.2336,1.99374642849,0.366625,1.64220683381
1,1,0.3412,1.68030497694,0.403125,1.51877558678
2,2,0.3878,1.57780832028,0.442125,1.47564790435
3,3,0.44,1.46262772155,0.479,1.36497702919
4,4,0.4888,1.35746788943,0.500875,1.32757833745
5,5,0.5212,1.27906875646,0.524125,1.29970539562
6,6,0.5432,1.22183359671,0.53975,1.24907937229
7,7,0.585,1.12506779116,0.559,1.20274408996
8,8,0.614,1.03709896988,0.5525,1.2573411848
9,9,0.6448,0.980050029278,0.570375,1.20354299556
10,10,0.6706,0.922321524918,0.584125,1.13569836035
11,11,0.6952,0.87140992853,0.599375,1.128813833
12,12,0.7072,0.809060951531,0.591625,1.1679274972
13,13,0.7304,0.756813351363,0.61325,1.16178025546
14,14,0.7512,0.692306761891,0.599625,1.17709609436
15,15,0.7748,0.641527959809,0.620125,1.15656061804
16,16,0.7852,0.603843016684,0.62475,1.18162210101
17,17,0.803,0.5613933139,0.61425,1.23231590575
18,18,0.8134,0.529240452617,0.61275,1.2511654236
19,19,0.8236,0.481705864303,0.628125,1.23325863915
20,20,0.8456,0.439076088458,0.626125,1.2798493884
21,21,0.8528,0.415718690746,0.627625,1.29686225244
22,22,0.8678,0.383298879761,0.624,1.36886880116
23,23,0.8794,0.345848460194,0.627125,1.37040369135
24,24,0.8916,0.310801437108,0.63525,1.42140388513
25,25,0.9002,0.291253632357,0.608625,1.78555814096
26,26,0.8992,0.292588410517,0.590875,1.7123387512
27,27,0.899,0.28335867289,0.62725,1.41924970087
28,28,0.915,0.231041584664,0.629125,1.48725173519
29,29,0.918,0.227235177388,0.627375,1.62737113897
30,30,0.9302,0.209189275832,0.623875,1.67214012539
31,0,0.934,0.202279221898,0.62725,1.80446689509
32,1,0.9282,0.207403684465,0.631125,1.72589882897
33,2,0.9294,0.192184345568,0.616875,1.69571042516
34,3,0.9384,0.185069820306,0.631125,1.72902318972
35,4,0.9474,0.15707215946,0.63775,1.6501727467
36,5,0.9502,0.151483741137,0.640375,1.77651425092
37,6,0.9504,0.146817046601,0.635,1.85792046342
38,7,0.9478,0.14202339006,0.631375,1.92425262455
39,8,0.957,0.131350340141,0.638625,1.89873521665
40,9,0.9582,0.123778220041,0.630375,1.9774123057
41,10,0.966,0.109414995347,0.62475,2.08035343837
42,11,0.9646,0.108420179006,0.63975,1.85528285945
43,12,0.9642,0.106565453083,0.633,2.04885886833
44,13,0.9636,0.101681145922,0.626375,2.19084791779
45,14,0.9674,0.0973597865614,0.624375,2.16387907531
46,15,0.9696,0.0906794580828,0.63725,2.16486297905
47,16,0.9718,0.0889981738212,0.627625,2.19487267135
48,17,0.9696,0.0872919510384,0.634625,2.09465875767
49,18,0.9748,0.0696084012704,0.624375,2.36588127241
50,19,0.9744,0.0753978644153,0.63125,2.17948915354
51,20,0.9686,0.0914642501062,0.642,2.17349804001
52,21,0.9756,0.0723809777888,0.63225,2.10712199088
53,22,0.9728,0.0887144535843,0.642,2.22600901268
54,23,0.9734,0.0811700312524,0.634875,2.25091798338
55,24,0.9758,0.0676745779126,0.6315,2.08048474772
56,25,0.9778,0.0677796689115,0.636,2.25134276621
57,26,0.979,0.0657236393004,0.608875,2.81597612663
58,27,0.9748,0.0745330224835,0.6315,2.27880511654
59,28,0.9808,0.0572728199559,0.631875,2.39404463812
60,29,0.9784,0.0594153878561,0.626125,2.24703429827
61,30,0.9744,0.0707661342271,0.627375,2.37939288932
62,31,0.979,0.0685703474161,0.634625,2.27153418859
63,32,0.981,0.0604767747426,0.62175,2.52904771234
64,33,0.9828,0.0509977280608,0.62475,2.43797071109
65,34,0.9816,0.0565268232697,0.6325,2.42164038878
66,35,0.981,0.0550973879927,0.63225,2.5430975412
67,36,0.9806,0.0540366773437,0.628875,2.45613267491
68,37,0.9814,0.058328924373,0.635,2.47927250075
69,38,0.9818,0.054522389422,0.635375,2.45470614097
70,39,0.9852,0.0515799249149,0.624125,2.416831825
71,40,0.9806,0.0604063038836,0.6305,2.47262515541
72,41,0.9802,0.0605410979715,0.631875,2.34759963074
73,42,0.982,0.0535192375238,0.631375,2.44909927074
74,43,0.983,0.0527355033079,0.636,2.46057285071
75,44,0.985,0.0424152783194,0.62825,2.60125102394
76,45,0.9826,0.0495812520185,0.63575,2.80068695736
77,46,0.9822,0.055601682238,0.638875,2.5430668017
78,47,0.9864,0.0388857828192,0.625875,2.69382781557
79,48,0.9858,0.04580582509,0.62825,2.62050964408
80,49,0.9876,0.0386130467008,0.63375,2.61808548317
81,50,0.9782,0.0574782971385,0.629125,2.47499587809
82,51,0.988,0.038132383046,0.6355,2.50563304539
83,52,0.9842,0.0424003571947,0.626,2.56199503252
84,53,0.9814,0.0565282956035,0.616125,2.67028396033
85,54,0.9848,0.0489874010513,0.6325,2.64101970994
86,55,0.9882,0.0408169519993,0.6345,2.77779649575
87,56,0.9854,0.0416237527746,0.63725,2.84161600925
88,57,0.983,0.0554843118933,0.633875,2.74034683147
89,58,0.9876,0.036538301948,0.6415,2.59946995158
90,59,0.9878,0.0415477240593,0.63525,2.57356258804
91,60,0.9888,0.0370023818114,0.63875,2.4672567748
92,61,0.988,0.0334257431724,0.63425,2.71521400923
93,62,0.9874,0.0374270774232,0.635125,2.77998285247
94,63,0.9812,0.0532533065901,0.63375,2.54813225649
95,64,0.9864,0.0382157164281,0.63,2.73405196011
96,65,0.9906,0.0330000244498,0.6375,2.74414661628
97,66,0.9894,0.0314332698081,0.6375,2.69058719011
98,67,0.9874,0.0387455761595,0.633125,2.85254825496
99,68,0.9892,0.0339664360924,0.636625,2.74197787123
100,69,0.9886,0.0405783166067,0.622375,2.67581789233
101,70,0.9864,0.037445579141,0.615125,2.91180873627
102,71,0.9874,0.0380887979163,0.6355,2.69536834641
