,index,acc,loss,val_acc,val_loss
0,0,0.01962,4.48241783142,0.0323,4.2867211771
1,1,0.0371,4.25609136724,0.0625,4.09727316141
2,2,0.05328,4.11365217447,0.0894,3.92750658751
3,3,0.0705,3.99268325758,0.1148,3.80270486116
4,4,0.08542,3.8818485117,0.1313,3.70574690104
5,5,0.1035,3.78025802517,0.1526,3.59201515675
6,6,0.12058,3.67566689634,0.1733,3.45068870306
7,7,0.13456,3.58160325146,0.1888,3.35663167
8,8,0.15116,3.48903215694,0.2032,3.28466740608
9,9,0.16492,3.40949872732,0.2118,3.19638289452
10,10,0.1791,3.34157145357,0.2218,3.17755111456
11,11,0.18796,3.27708495665,0.2247,3.12498599768
12,12,0.20188,3.21799083376,0.2383,3.08794319153
13,13,0.21124,3.15397092819,0.2472,3.00833956957
14,14,0.21998,3.10484590578,0.2642,2.9280891037
15,15,0.23258,3.05711421394,0.269,2.90815825462
16,16,0.24026,3.0033781023,0.2809,2.86941607952
17,17,0.24856,2.94890719986,0.2842,2.83683867216
18,18,0.25896,2.91099766541,0.2983,2.77042786837
19,19,0.26714,2.87502693319,0.2983,2.75107916594
20,20,0.27402,2.83161375046,0.2942,2.77722694635
21,21,0.28096,2.7832657609,0.3097,2.70599111557
22,22,0.28916,2.74417582321,0.3202,2.66170215607
23,23,0.2959,2.70964385414,0.319,2.66482012987
24,24,0.30076,2.67025076818,0.314,2.69515942097
25,25,0.30704,2.64291401529,0.3232,2.66340776205
26,26,0.31218,2.60993216991,0.3305,2.60667368174
27,27,0.31704,2.57572387123,0.336,2.59182775974
28,28,0.32618,2.54507168198,0.3257,2.6437394309
29,29,0.3288,2.52240075779,0.341,2.58522217751
30,30,0.33664,2.49931308699,0.3306,2.61555786848
31,31,0.34102,2.46869613552,0.3355,2.57932393789
32,32,0.34714,2.4402350719,0.3498,2.54589119554
33,33,0.34944,2.40865667176,0.3491,2.55785682082
34,34,0.35486,2.39811312318,0.347,2.55765273809
35,35,0.36148,2.36342059636,0.3502,2.57530820727
36,36,0.3629,2.34686925006,0.3412,2.60808016777
37,37,0.36704,2.33511894464,0.3467,2.56794427991
38,38,0.3723,2.3027276485,0.3463,2.5628747952
39,39,0.37796,2.28642858768,0.3557,2.53719644904
40,40,0.38204,2.2603126421,0.3398,2.58020326734
41,41,0.38262,2.24920414615,0.3474,2.59963392615
42,42,0.38852,2.22492672491,0.3586,2.54147578597
43,43,0.39048,2.21513156581,0.3509,2.57863579154
44,44,0.39264,2.18754983497,0.3531,2.5522925663
45,45,0.39638,2.17704866862,0.3462,2.59816202402
46,46,0.40202,2.14048181963,0.351,2.58355224371
47,47,0.40344,2.13808307862,0.3551,2.57360490084
48,48,0.40514,2.12607398677,0.3538,2.59780163527
49,49,0.40794,2.10660965204,0.3541,2.61214831114
50,50,0.41064,2.09661439872,0.3493,2.59453227758
51,51,0.41498,2.0730006187,0.3522,2.62260957599
52,52,0.41814,2.06395028853,0.3454,2.64753674746
53,53,0.42156,2.05129135823,0.3526,2.63378676176
54,54,0.42486,2.02602587795,0.3477,2.67504616141
55,55,0.43052,2.01362089205,0.3492,2.65384473681
56,56,0.42956,2.00758164191,0.3512,2.70143374324
57,57,0.43586,1.98397679687,0.346,2.7127496624
58,58,0.43492,1.97876036549,0.3469,2.6935316968
59,59,0.43426,1.96485878205,0.3459,2.71404439449
60,60,0.43984,1.95311470389,0.3519,2.68861346126
61,61,0.44408,1.94151518822,0.354,2.73018643737
62,62,0.44612,1.93174762774,0.3455,2.71852913857
63,63,0.4454,1.91248428082,0.3451,2.75960014224
64,64,0.45012,1.90863968897,0.3437,2.75395160675
65,65,0.4486,1.90861532879,0.3476,2.79085181117
66,66,0.456,1.87857178044,0.3456,2.77437963367
67,67,0.45668,1.87558367205,0.3364,2.83385781765
68,68,0.45852,1.86388005447,0.3458,2.77231065035
69,69,0.46066,1.86410025764,0.3396,2.81923169136
70,70,0.46396,1.84442886806,0.3467,2.82841223359
71,71,0.46576,1.83479896259,0.3391,2.8866579318
72,72,0.46694,1.82544361067,0.3476,2.85018759251
73,73,0.4705,1.80708448315,0.3472,2.84344258785
74,74,0.46944,1.80815847993,0.3432,2.86490333438
75,75,0.47114,1.79728983641,0.3434,2.86403144598
76,76,0.4778,1.77777688646,0.3445,2.88722010732
77,77,0.4773,1.78419840026,0.3389,2.95901372433
78,78,0.47972,1.76538185167,0.341,2.93798968434
79,79,0.48022,1.76661967182,0.3435,2.91602316618
80,80,0.48296,1.7504438076,0.3439,2.93763255596
81,81,0.48304,1.74721862793,0.3383,2.96183677197
82,82,0.4849,1.74202852321,0.3398,2.95333972931
83,83,0.48842,1.71981459594,0.3419,3.0016019845
84,84,0.48702,1.71515018654,0.3427,2.95882622004
85,85,0.4885,1.72284625983,0.3387,3.01885392666
86,86,0.49158,1.70731838584,0.3398,3.01673744321
87,87,0.49332,1.6995484252,0.337,3.00969003916
88,88,0.49518,1.6920007844,0.3409,3.02154040098
89,89,0.49908,1.67763210392,0.3397,3.06031190515
90,90,0.49748,1.67789663625,0.3398,3.08178582668
91,91,0.49862,1.67597381473,0.3413,3.0865450263
92,92,0.50312,1.65365687966,0.3388,3.10313049078
93,93,0.50344,1.65387964296,0.3379,3.09566347241
