,index,acc,loss,val_acc,val_loss
0,0,0.0196,4.49026842499,0.0346,4.32134401321
1,1,0.0368,4.28529302979,0.0678,4.11944482803
2,2,0.05308,4.14028787899,0.0983,3.95592098236
3,3,0.07138,4.01317297935,0.1131,3.85541695118
4,4,0.08624,3.91184589291,0.1264,3.71799705505
5,5,0.09654,3.83590653038,0.1444,3.67852873802
6,6,0.10778,3.74827901268,0.1615,3.5664418745
7,7,0.12194,3.66842897987,0.1741,3.46219808102
8,8,0.13478,3.59765004349,0.1857,3.40608473301
9,9,0.1446,3.53403356361,0.1941,3.32659564018
10,10,0.1593,3.45916660976,0.2105,3.26128077507
11,11,0.17016,3.39777266598,0.2161,3.20434232235
12,12,0.1771,3.3516656971,0.2254,3.18732494354
13,13,0.18842,3.29641157818,0.2391,3.11051832676
14,14,0.1963,3.2400640974,0.246,3.0505989933
15,15,0.20596,3.20588032913,0.2537,3.0288484621
16,16,0.21348,3.14901082516,0.264,2.97977253437
17,17,0.22326,3.11260287285,0.2664,2.96438548088
18,18,0.22716,3.08004784679,0.2737,2.89056788921
19,19,0.23436,3.04077936268,0.2716,2.9023704958
20,20,0.24408,2.99932809925,0.2853,2.86019025326
21,21,0.2493,2.96850796032,0.291,2.82417330742
22,22,0.25416,2.9326753931,0.2859,2.83683454514
23,23,0.25954,2.8958047781,0.303,2.76729855061
24,24,0.26722,2.86466041374,0.3024,2.75086323738
25,25,0.27092,2.84618517876,0.3118,2.7182392931
26,26,0.2781,2.81111442089,0.3116,2.73464522839
27,27,0.28588,2.76841910553,0.3169,2.69855933189
28,28,0.28812,2.747315835,0.3161,2.68450523853
29,29,0.29578,2.7160092411,0.3222,2.6566508913
30,30,0.302,2.68989439487,0.3202,2.654541049
31,31,0.30474,2.66559803391,0.3314,2.62667426586
32,32,0.31406,2.63345851803,0.3337,2.6073191452
33,33,0.31644,2.61956271839,0.3327,2.60702845573
34,34,0.31632,2.6019576416,0.3389,2.57246376514
35,35,0.32234,2.57243322945,0.3283,2.61591275692
36,36,0.32742,2.5468023634,0.3402,2.57111339092
37,37,0.32902,2.52865289116,0.3404,2.56949807644
38,38,0.33314,2.51799828911,0.3468,2.54979604721
39,39,0.33816,2.49626328945,0.3478,2.53586225033
40,40,0.34274,2.4722819767,0.3489,2.52714822769
41,41,0.34428,2.45895355701,0.3541,2.5240233469
42,42,0.34816,2.43506708241,0.3487,2.54207186699
43,43,0.3556,2.40814739323,0.353,2.52500444412
44,44,0.35468,2.40753187943,0.357,2.52510763168
45,45,0.35586,2.39037667084,0.352,2.54006813049
46,46,0.36004,2.37162596035,0.3567,2.5223160553
47,47,0.3651,2.36199755764,0.3544,2.53010502338
48,48,0.3686,2.33307807255,0.3595,2.4934622097
49,49,0.3691,2.32254387474,0.3531,2.52087803841
50,50,0.3729,2.31586196518,0.3512,2.52170142174
51,51,0.3755,2.29580630302,0.3512,2.57316681385
52,52,0.37854,2.27905743313,0.3639,2.51786245346
53,53,0.38064,2.26281530094,0.3619,2.53280357361
54,54,0.38266,2.25339816523,0.3665,2.506592803
55,55,0.38582,2.23732058048,0.3594,2.5258172226
56,56,0.387,2.22859750605,0.3625,2.52392057419
57,57,0.38922,2.21489060497,0.3606,2.52108549595
58,58,0.39458,2.19923823023,0.3618,2.51474740982
59,59,0.39894,2.18139836359,0.3577,2.55608007908
60,60,0.40172,2.16691811228,0.3573,2.5343362999
61,61,0.40122,2.16317447424,0.3614,2.53837557316
62,62,0.40258,2.15302499342,0.3646,2.5154801321
63,63,0.4066,2.13157985687,0.3635,2.54056689262
64,64,0.40942,2.11399875259,0.3659,2.52865325928
65,65,0.4105,2.11758605194,0.3541,2.58761872768
