,index,acc,loss,val_acc,val_loss
0,0,0.04474,4.34423238325,0.1209,3.92321389437
1,1,0.1004,3.92417053461,0.1668,3.62226992607
2,2,0.13522,3.69131482363,0.2098,3.41101987839
3,3,0.16068,3.53892603636,0.2336,3.25488647223
4,4,0.18384,3.41611472797,0.2557,3.11577152491
5,5,0.19924,3.32136483145,0.2729,3.04993518114
6,6,0.21266,3.24997518635,0.2896,2.96818632603
7,7,0.2249,3.18362028599,0.2953,2.90988042116
8,8,0.2348,3.11930306578,0.3072,2.84283493519
9,9,0.24472,3.06513240194,0.3055,2.81624592066
10,10,0.2572,3.01136885405,0.3184,2.77442401171
11,11,0.26276,2.96937131071,0.3279,2.72946116447
12,12,0.27394,2.92047475481,0.3404,2.67146945
13,13,0.27984,2.89714412069,0.3354,2.69705391884
14,14,0.2878,2.85619624043,0.3483,2.63465988398
15,15,0.29118,2.8259918623,0.3544,2.58287340641
16,16,0.29846,2.79212210512,0.3575,2.56952217102
17,17,0.30222,2.77046447182,0.3684,2.55381894588
18,18,0.30888,2.7487864995,0.3602,2.55982305765
19,19,0.3131,2.72038648272,0.3699,2.5194987154
20,20,0.3133,2.70514181805,0.3779,2.51785649776
21,21,0.32256,2.67610679102,0.3743,2.4766967392
22,22,0.3276,2.65309554291,0.3778,2.47327296495
23,23,0.32996,2.6255638938,0.3831,2.44824013948
24,24,0.3338,2.61106538677,0.3804,2.45884643555
25,25,0.3375,2.59091348886,0.3875,2.42951973915
26,26,0.34282,2.56528613901,0.3779,2.4559326911
27,27,0.34526,2.55074390173,0.3955,2.40740594387
28,28,0.35006,2.53888544655,0.3973,2.36829151154
29,29,0.35176,2.51993923044,0.3983,2.37838648319
30,30,0.35296,2.50834942436,0.396,2.38560727358
31,31,0.35914,2.48598112988,0.4018,2.37096818089
32,32,0.36134,2.47237055731,0.4009,2.35499450564
33,33,0.36224,2.45942698574,0.4079,2.34608264327
34,34,0.36794,2.43851361322,0.4026,2.3628526473
35,35,0.37218,2.42710785866,0.4033,2.34409629703
36,36,0.37232,2.41702603579,0.4113,2.33545350194
37,37,0.37448,2.40355531526,0.4149,2.30505263567
38,38,0.37734,2.38679773641,0.4142,2.3194846499
39,39,0.37996,2.37541405177,0.4145,2.30575784445
40,40,0.38304,2.35708535099,0.4181,2.29636021972
41,41,0.38582,2.34906601477,0.4142,2.30025709987
42,42,0.38572,2.34458591676,0.4192,2.27516022921
43,43,0.38762,2.32975159168,0.4183,2.28580682874
44,44,0.39462,2.31570012498,0.4216,2.27004001737
45,45,0.39444,2.29990053582,0.4235,2.26061054587
46,46,0.39514,2.29290540719,0.4186,2.27154839396
47,47,0.39992,2.28555504203,0.4225,2.28031334162
48,48,0.3966,2.27840783691,0.4194,2.2604776752
49,49,0.3999,2.26557112885,0.4228,2.27535566568
50,50,0.40478,2.25305608892,0.4276,2.26232929468
51,51,0.40722,2.24769091296,0.4286,2.23921022773
52,52,0.40832,2.23151428151,0.4326,2.22190743327
53,53,0.41114,2.2210012548,0.4272,2.22940439343
54,54,0.40746,2.21996033192,0.4253,2.24529650211
55,55,0.40924,2.21837334871,0.4358,2.22082630038
56,56,0.41078,2.20495068312,0.4257,2.22757612586
57,57,0.4137,2.19760506487,0.4311,2.21073192835
58,58,0.41554,2.19065642643,0.4316,2.22113270283
59,59,0.4202,2.17580489635,0.4365,2.20933962584
60,60,0.41858,2.18077490926,0.4355,2.21259537101
61,61,0.4193,2.16506084323,0.4362,2.21202522397
62,62,0.4252,2.149881459,0.433,2.21379956245
63,63,0.4239,2.15000729132,0.4377,2.19558900714
64,64,0.42316,2.14354403496,0.4221,2.24672865629
65,65,0.4227,2.1418759644,0.4389,2.20500101328
66,66,0.42708,2.13587483978,0.4369,2.19756197691
67,67,0.4243,2.13876281476,0.4397,2.20266079187
68,68,0.4271,2.11397619963,0.4351,2.20640337706
69,69,0.42866,2.12295495415,0.4392,2.18864015341
70,70,0.43086,2.10186677361,0.4363,2.190659374
71,71,0.43178,2.10116436839,0.4387,2.19194198966
72,72,0.4339,2.0930618999,0.4381,2.19706614017
73,73,0.43466,2.09395660162,0.4261,2.21866904497
74,74,0.43512,2.08102950549,0.4342,2.1932825911
75,75,0.43728,2.08339966369,0.4381,2.19032375336
76,76,0.43742,2.07138565803,0.4344,2.18432002187
77,77,0.44062,2.06187793112,0.4404,2.18616919994
