,index,acc,loss,val_acc,val_loss
0,0,0.0738,4.10088615704,0.1655,3.56269532919
1,1,0.15684,3.57335481596,0.2326,3.22294966459
2,2,0.18844,3.37491698313,0.2639,3.07704039812
3,3,0.21036,3.26042334986,0.2874,2.94427569389
4,4,0.2269,3.16348112917,0.2975,2.86103886604
5,5,0.24054,3.0791091876,0.3171,2.7935914588
6,6,0.2514,3.0164966588,0.3188,2.80086586237
7,7,0.26336,2.96334436941,0.3406,2.6844976902
8,8,0.27016,2.91848503542,0.3362,2.68572570562
9,9,0.2791,2.8712307868,0.3452,2.63765633106
10,10,0.28364,2.84465301228,0.3477,2.60643735886
11,11,0.28692,2.80717987394,0.3565,2.57898605347
12,12,0.29526,2.77094405365,0.3621,2.55828090668
13,13,0.30076,2.75441294861,0.3583,2.54367422581
14,14,0.30766,2.71121149588,0.3519,2.5583001399
15,15,0.3126,2.69498896217,0.3675,2.50778452635
16,16,0.31424,2.67616530704,0.3732,2.48519510031
17,17,0.31982,2.65330940628,0.3715,2.4784783268
18,18,0.3231,2.62800696993,0.3778,2.47130792975
19,19,0.32784,2.61778434372,0.3723,2.48801669836
20,20,0.32664,2.60340486002,0.3724,2.4918500638
21,21,0.3303,2.58860134649,0.372,2.469534235
22,22,0.33234,2.57081444407,0.3805,2.44319016933
23,23,0.33844,2.55362923622,0.3811,2.43944574118
24,24,0.34198,2.5408600235,0.3811,2.43409173727
25,25,0.34148,2.52837760448,0.3797,2.44853722811
26,26,0.34282,2.5264978075,0.3812,2.41733167648
27,27,0.34744,2.50037167335,0.3734,2.47563588619
28,28,0.34696,2.49715317607,0.3906,2.39958325267
29,29,0.34934,2.48947555828,0.384,2.41896318197
30,30,0.35306,2.47219734073,0.3874,2.40630321741
31,31,0.35094,2.46327967072,0.3869,2.40869138241
32,32,0.35376,2.45869656992,0.3791,2.41277213454
33,33,0.35556,2.44343146634,0.388,2.40304222584
34,34,0.35658,2.45566624308,0.3847,2.4033987093
35,35,0.3571,2.43792043853,0.3914,2.39254680395
36,36,0.36138,2.42643780923,0.3831,2.39881613016
37,37,0.3645,2.42170528316,0.3866,2.39826926947
38,38,0.36196,2.41599262881,0.3837,2.40695921659
39,39,0.36466,2.40235475373,0.3889,2.39330200195
40,40,0.36458,2.40106965709,0.394,2.37801010609
41,41,0.36394,2.39917149758,0.3905,2.377868402
42,42,0.3673,2.3871802907,0.3884,2.3900681901
43,43,0.36644,2.37886673093,0.392,2.37923852801
44,44,0.36984,2.36870611334,0.3899,2.39546635866
45,45,0.3664,2.38309538388,0.3958,2.36546531916
46,46,0.36834,2.36940371156,0.3936,2.37687213421
47,47,0.37104,2.36204013228,0.3919,2.38621919751
48,48,0.37218,2.35924719501,0.3894,2.38218345165
49,49,0.37522,2.34894917536,0.3986,2.37581012845
50,50,0.37656,2.33992944622,0.3934,2.36951658964
51,51,0.375,2.34572433257,0.3891,2.39044089913
52,52,0.37496,2.34145628691,0.3864,2.40345257044
53,53,0.37716,2.33151257682,0.3903,2.39146486998
54,54,0.37552,2.33756187868,0.3996,2.35433974624
55,55,0.37762,2.32390561938,0.3969,2.36516919851
56,56,0.38038,2.31283665323,0.3996,2.37937657118
57,57,0.38136,2.31028434253,0.3971,2.35301949739
58,58,0.38038,2.32188117337,0.3955,2.3684449923
59,59,0.38132,2.30982134771,0.3914,2.38817017913
60,60,0.38046,2.31438200116,0.3959,2.37238202691
61,61,0.38428,2.29621203971,0.3923,2.37040117502
62,62,0.3867,2.30053974795,0.3985,2.3596598804
63,63,0.38652,2.29025821686,0.3953,2.38445317864
64,64,0.38416,2.28294570804,0.3979,2.35916964769
65,65,0.38716,2.28803141069,0.3927,2.38565752029
66,66,0.38776,2.27721964383,0.3958,2.36956942439
67,67,0.38552,2.27903417897,0.3933,2.38016182065
68,68,0.3887,2.27688232923,0.3945,2.3880844605
69,69,0.388,2.27007113171,0.3875,2.41294667363
70,70,0.38572,2.27587917352,0.3846,2.4071679759
71,71,0.38722,2.27542152047,0.3935,2.3797064364
72,72,0.3904,2.25722878623,0.3943,2.36731226206
73,73,0.39106,2.26234063959,0.3864,2.41337074518
74,74,0.38768,2.25964854312,0.3945,2.3729231596
75,75,0.3907,2.2634808023,0.3866,2.39698178172
76,76,0.39192,2.24643746114,0.396,2.3719162643
77,77,0.391,2.25383516145,0.3937,2.36737489104
78,78,0.39322,2.24999635148,0.3881,2.37457888126
79,79,0.38612,2.28703919196,0.3928,2.37532666802
80,80,0.3962,2.24615108061,0.3923,2.37457835197
81,81,0.3923,2.24002295899,0.3896,2.38510998845
82,82,0.3953,2.23385421252,0.3869,2.39043601274
83,83,0.39426,2.24006879711,0.3824,2.40516511321
84,84,0.3914,2.24047439122,0.3936,2.36133139729
85,85,0.39616,2.2419392848,0.3933,2.36922328591
86,86,0.39568,2.22359365678,0.3928,2.37518162727
87,87,0.39552,2.23158421707,0.3948,2.37788564563
88,88,0.39664,2.22873336864,0.3941,2.3596212101
89,89,0.39732,2.22121624112,0.394,2.36488845825
90,90,0.39912,2.22351171231,0.3942,2.35708983541
91,91,0.39834,2.21971179509,0.3896,2.36583597302
92,92,0.39752,2.21157233,0.4001,2.36136653185
93,93,0.39792,2.22121842694,0.3927,2.36063389301
94,94,0.39722,2.21747507787,0.3846,2.39832155347
95,95,0.39518,2.22604284143,0.393,2.39127140641
96,96,0.39914,2.21520920897,0.3917,2.39148549795
97,97,0.4021,2.202222332,0.3915,2.38009012341
98,98,0.39966,2.2139975121,0.3846,2.44655137658
99,99,0.40138,2.19937398982,0.394,2.37790567636
100,100,0.40094,2.20237831235,0.3942,2.36929173231
101,101,0.40204,2.19732493997,0.3878,2.38578894615
102,102,0.40326,2.19694148946,0.3963,2.36800972462
103,103,0.40026,2.19735363317,0.3905,2.39537861347
104,104,0.4031,2.19020722318,0.3933,2.37290957928
105,105,0.40236,2.19831932139,0.3884,2.38651395798
106,106,0.39984,2.20149484444,0.3976,2.38768894076
107,107,0.40502,2.19004227114,0.3978,2.37151064873
108,108,0.40356,2.18598762727,0.4007,2.34728673816
109,109,0.39948,2.2047410934,0.3968,2.37715473413
110,110,0.40534,2.17951994491,0.3933,2.38476810336
111,111,0.40528,2.18254973817,0.3961,2.38167353511
112,112,0.40674,2.1795096879,0.3936,2.38456522465
113,113,0.40282,2.18125160384,0.3916,2.36902138472
