,index,acc,loss,val_acc,val_loss
0,0,0.04224,4.35451309204,0.1109,3.96751839638
1,1,0.09104,3.97216942024,0.1661,3.65267629623
2,2,0.12328,3.75966470718,0.1864,3.50938997269
3,3,0.14468,3.63590009117,0.2115,3.38677763939
4,4,0.15986,3.54990335274,0.2288,3.30181385994
5,5,0.17052,3.47968832207,0.2391,3.2264712429
6,6,0.17958,3.42392128563,0.249,3.1712624836
7,7,0.18758,3.38474487877,0.2598,3.12453837395
8,8,0.1944,3.33910795975,0.2597,3.08419571877
9,9,0.20344,3.30276531982,0.2718,3.03361354828
10,10,0.20586,3.27269363785,0.2771,3.01796072006
11,11,0.20974,3.25071876144,0.2797,2.98923540115
12,12,0.21684,3.21795233727,0.2896,2.95582509041
13,13,0.21958,3.20469886017,0.2952,2.93765951157
14,14,0.22398,3.17768496513,0.2881,2.95377043724
15,15,0.22758,3.15460523224,0.2904,2.94325317383
16,16,0.23444,3.1337864666,0.2996,2.88049308777
17,17,0.23634,3.1107562027,0.3053,2.86660090446
18,18,0.24062,3.0950149765,0.3098,2.82282423019
19,19,0.24516,3.07156197739,0.3127,2.8100586319
20,20,0.2473,3.05917157364,0.3156,2.79578594208
21,21,0.25042,3.04808351707,0.3155,2.79165115356
22,22,0.2528,3.033777771,0.3237,2.76896286011
23,23,0.25724,3.01568111992,0.3258,2.76128315926
24,24,0.25552,3.00306126404,0.3238,2.75640325546
25,25,0.26308,2.98642617989,0.3193,2.77081001282
26,26,0.26062,2.97859677505,0.3321,2.72693042755
27,27,0.2641,2.96015735626,0.3336,2.69849012375
28,28,0.26906,2.94415621948,0.338,2.6939849472
29,29,0.2694,2.94480321121,0.3384,2.69261582375
30,30,0.27186,2.93551414871,0.3411,2.67537233353
31,31,0.27514,2.91737066841,0.3421,2.65653672218
32,32,0.276,2.91227061844,0.344,2.65755031586
33,33,0.27814,2.89975076485,0.3476,2.64928471565
34,34,0.2764,2.89864427757,0.3451,2.65872102737
35,35,0.2793,2.8857376461,0.3412,2.65293654442
36,36,0.2821,2.87478132248,0.3494,2.62664485931
37,37,0.28416,2.86982321358,0.3479,2.62109127998
38,38,0.28438,2.86217536736,0.3528,2.61026934624
39,39,0.28652,2.85049119186,0.3511,2.60708661079
40,40,0.28662,2.85193388367,0.3534,2.60526474953
41,41,0.28884,2.83889731979,0.3558,2.58781232834
42,42,0.2923,2.83630112648,0.3551,2.5956708622
43,43,0.29034,2.8274634304,0.3602,2.5817259407
44,44,0.2904,2.82314606285,0.3556,2.58466248512
45,45,0.29086,2.81540196419,0.3572,2.57310965538
46,46,0.29644,2.80200526047,0.3626,2.556276474
47,47,0.2992,2.80143916702,0.3585,2.55239756584
48,48,0.29594,2.7971506958,0.3653,2.54760136604
49,49,0.3016,2.78640305901,0.3654,2.55405157089
50,50,0.3013,2.78721108818,0.3652,2.54287837029
51,51,0.3023,2.77333475304,0.3631,2.53731203079
52,52,0.30216,2.76731067276,0.3639,2.53080844879
53,53,0.30338,2.76780492783,0.3667,2.5385970211
54,54,0.3062,2.75733086586,0.3689,2.52964939117
55,55,0.30624,2.75511293411,0.3689,2.53522327423
56,56,0.30752,2.74660654449,0.3687,2.51245820045
57,57,0.30664,2.74564195251,0.3694,2.51375217438
58,58,0.30676,2.74140783501,0.3648,2.54780589104
59,59,0.3075,2.74448606682,0.3737,2.51140271187
60,60,0.31098,2.72738844872,0.3709,2.50267971039
61,61,0.3087,2.73197180367,0.3757,2.5083357811
62,62,0.31156,2.73024552536,0.3722,2.51376764297
63,63,0.31198,2.71362147903,0.3787,2.494118433
64,64,0.31306,2.71693174744,0.3742,2.50465291023
65,65,0.31308,2.70925573349,0.3736,2.49440856934
66,66,0.31482,2.7104828701,0.3769,2.48267416954
67,67,0.31696,2.69429784584,0.3743,2.48798117638
68,68,0.31718,2.69435948181,0.3775,2.4888207531
69,69,0.31638,2.69917419052,0.3762,2.48077032089
70,70,0.31848,2.69071725082,0.3781,2.47447989464
71,71,0.31588,2.6955700798,0.3764,2.4700358963
72,72,0.31966,2.68316518784,0.376,2.48673226357
73,73,0.32026,2.68122121811,0.3782,2.46239975929
74,74,0.32012,2.67607529831,0.3793,2.45959326744
75,75,0.32074,2.6745326786,0.3802,2.46283153534
76,76,0.3214,2.67144432068,0.38,2.47236793518
77,77,0.32212,2.66574417496,0.381,2.45397367477
78,78,0.32332,2.66393664169,0.3817,2.45744501114
79,79,0.32324,2.66095693207,0.3765,2.4792702961
80,80,0.32332,2.65849817467,0.3818,2.44293696404
81,81,0.32548,2.65438471985,0.3824,2.44727128983
82,82,0.32368,2.6539104557,0.3813,2.44008419037
83,83,0.32604,2.65109736252,0.3821,2.44358886719
84,84,0.32804,2.63829101372,0.3847,2.44083667755
85,85,0.32712,2.64232324791,0.3807,2.43709007263
86,86,0.32818,2.64051983643,0.3826,2.43481519699
87,87,0.32742,2.63367549896,0.3827,2.43636313438
88,88,0.33072,2.62730525017,0.386,2.4245983696
89,89,0.33322,2.62786015892,0.3858,2.42751315117
90,90,0.32996,2.62255759621,0.3852,2.43101707458
91,91,0.32946,2.63257162285,0.3853,2.42970608711
92,92,0.32872,2.62762152481,0.3867,2.44068896294
93,93,0.33102,2.62043834114,0.3859,2.44030125618
94,94,0.33028,2.62206565285,0.3865,2.42941493988
95,95,0.33498,2.60868285942,0.3845,2.42632644653
96,96,0.33526,2.60906632614,0.3854,2.42139145851
97,97,0.33308,2.61502953911,0.3919,2.41965037346
98,98,0.33562,2.60563247299,0.3861,2.42074485779
99,99,0.3341,2.59869359779,0.3945,2.40904425621
100,100,0.33536,2.59884449196,0.3902,2.40491210938
101,101,0.33538,2.59883845329,0.3898,2.41089351654
102,102,0.33974,2.58641996574,0.3914,2.40567481041
103,103,0.33642,2.59605451393,0.3906,2.4059273243
104,104,0.33906,2.59321873665,0.3902,2.40676362991
105,105,0.33886,2.58142116928,0.3901,2.40538518906
106,106,0.33988,2.58040888214,0.3904,2.40203733444
107,107,0.33662,2.58509683418,0.391,2.39663976669
108,108,0.33904,2.58056577492,0.3937,2.39356201172
109,109,0.33908,2.58359416199,0.3927,2.39723712921
110,110,0.34338,2.57333771133,0.3953,2.39201526642
111,111,0.34212,2.58039540863,0.3926,2.39570694923
112,112,0.33962,2.57928071022,0.3942,2.39165043831
113,113,0.33932,2.57413546371,0.3921,2.39517954826
114,114,0.34402,2.56568826294,0.3954,2.38779218674
115,115,0.34046,2.56884973335,0.3956,2.38464020729
116,116,0.34104,2.56993947792,0.3966,2.38265587807
117,117,0.34492,2.55984187698,0.3941,2.38074274063
118,118,0.34212,2.56340104294,0.3929,2.38293729782
119,119,0.34508,2.56103630447,0.3952,2.3831377697
120,120,0.3425,2.56361656952,0.3976,2.37662983894
121,121,0.3467,2.55619834709,0.3938,2.37764007568
122,122,0.34588,2.55127541351,0.3958,2.38686982155
123,123,0.34406,2.55490202332,0.395,2.37695262909
124,124,0.3452,2.54776045799,0.3964,2.37445019722
125,125,0.34742,2.54571774101,0.3963,2.37125818253
126,126,0.34232,2.55215314102,0.3973,2.37164083481
127,127,0.3478,2.53984609222,0.3998,2.3774318409
128,128,0.34502,2.54808527946,0.3971,2.37222953796
129,129,0.34702,2.5393329258,0.3987,2.37297382355
130,130,0.34742,2.53885700989,0.3972,2.37263756752
131,131,0.35242,2.53096632004,0.3995,2.36633895874
132,132,0.35008,2.53485170746,0.3994,2.36795676231
133,133,0.34848,2.52674482918,0.3988,2.36091625214
134,134,0.349,2.53462108803,0.3998,2.36200095177
135,135,0.3494,2.52783507729,0.4002,2.36211720467
136,136,0.3502,2.5256690712,0.398,2.369289608
137,137,0.35028,2.52108669662,0.3998,2.36035025597
138,138,0.35014,2.52687874985,0.3994,2.35870740891
139,139,0.35146,2.51929217529,0.4009,2.35488926888
140,140,0.3504,2.51666804123,0.3971,2.37552874565
141,141,0.34758,2.5222784977,0.3996,2.35966117859
142,142,0.35126,2.51771453857,0.3977,2.36743021965
143,143,0.35384,2.51672005081,0.4003,2.36443440437
