,index,acc,loss,val_acc,val_loss
0,0,0.02044,4.48672354317,0.0476,4.24760117531
1,1,0.0423,4.2276619606,0.0855,4.05246747017
2,2,0.06288,4.07782883835,0.0974,3.90575321198
3,3,0.0797,3.95927326012,0.123,3.79486616135
4,4,0.09358,3.86792832756,0.1469,3.66063639641
5,5,0.10708,3.7711085043,0.1545,3.5938041544
6,6,0.12138,3.68451826,0.1754,3.50052183151
7,7,0.13178,3.61447983265,0.1844,3.42667789459
8,8,0.1442,3.54638707447,0.1955,3.3557624054
9,9,0.1539,3.4840538969,0.2013,3.28687669754
10,10,0.1677,3.43006394291,0.2095,3.23741168022
11,11,0.17662,3.36932712746,0.2287,3.17022806644
12,12,0.18364,3.32189417076,0.2303,3.14394567013
13,13,0.19572,3.27461809731,0.2399,3.08361946106
14,14,0.201,3.23196546745,0.2375,3.0666995573
15,15,0.20904,3.19333403778,0.2557,2.99170700073
16,16,0.21294,3.15597674561,0.26,3.00733827591
17,17,0.22204,3.10644966507,0.2619,2.95278627396
18,18,0.22874,3.07882919598,0.2775,2.92127464294
19,19,0.2346,3.03666148663,0.2724,2.88635077477
20,20,0.24154,3.00322626877,0.2826,2.86276557446
21,21,0.24724,2.97615869904,0.2854,2.83777823925
22,22,0.25194,2.93500250149,0.2923,2.8124998188
23,23,0.26174,2.90664797783,0.2871,2.83407576561
24,24,0.2662,2.87698066235,0.2914,2.7877496624
25,25,0.268,2.85572926331,0.305,2.75028449059
26,26,0.274,2.83357813358,0.3109,2.72846934795
27,27,0.27712,2.79925894356,0.309,2.71044705868
28,28,0.28288,2.77350677299,0.3145,2.68956867695
29,29,0.28958,2.74894536781,0.3129,2.68932765484
30,30,0.2949,2.72378015423,0.3182,2.67224535465
31,31,0.29734,2.6902225771,0.3204,2.64465711594
32,32,0.30172,2.68349242878,0.3179,2.66924799919
33,33,0.30452,2.64803168583,0.3225,2.63964652538
34,34,0.31164,2.6321027298,0.3141,2.69364029884
35,35,0.31352,2.61791110134,0.33,2.6145966053
36,36,0.31992,2.59090651608,0.3354,2.58869107246
37,37,0.32158,2.56790367603,0.334,2.59082712173
38,38,0.32574,2.54880644417,0.3302,2.61753461838
39,39,0.32798,2.53998833275,0.3385,2.57846776485
40,40,0.33226,2.52384592628,0.3384,2.59097066879
41,41,0.33254,2.50296624088,0.3378,2.56669893265
42,42,0.34076,2.47357170963,0.3398,2.59821268082
43,43,0.34196,2.46873653698,0.3432,2.56715654373
44,44,0.34718,2.4476976347,0.3435,2.57606539249
45,45,0.34962,2.43827191639,0.3445,2.55293358803
46,46,0.35056,2.42767207432,0.3474,2.55106424809
47,47,0.34828,2.41053245926,0.3513,2.55818567753
48,48,0.35818,2.38752710056,0.3411,2.59934396267
49,49,0.35792,2.3720255022,0.3414,2.59151250839
50,50,0.36494,2.36157892036,0.3447,2.56252975941
51,51,0.36282,2.35650103664,0.3479,2.55918148994
52,52,0.36848,2.3283759203,0.3444,2.58530340195
53,53,0.37026,2.31514519882,0.3523,2.54396978378
54,54,0.37184,2.29712805462,0.35,2.56526228428
55,55,0.37182,2.28933532429,0.336,2.63397284508
56,56,0.37854,2.27759919596,0.3462,2.58736454964
57,57,0.37942,2.26989714527,0.3453,2.58196200848
58,58,0.38126,2.25022125196,0.3459,2.5820445013
59,59,0.38526,2.24569048119,0.3425,2.59291911602
60,60,0.38464,2.23427339554,0.3442,2.62213990688
61,61,0.39034,2.2137426672,0.3464,2.57649421215
62,62,0.3915,2.20398592854,0.3495,2.59305739403
63,63,0.39408,2.19193045139,0.3458,2.58438027859
64,64,0.39306,2.18743882513,0.3448,2.62237508297
65,65,0.39896,2.17363871098,0.3443,2.64275592804
66,66,0.3987,2.16506861639,0.3516,2.6054838419
67,67,0.402,2.14159538651,0.3485,2.61403241634
68,68,0.40472,2.14071761799,0.3427,2.61362829208
69,69,0.40248,2.13052106667,0.3571,2.60417826653
70,70,0.40918,2.11184943867,0.348,2.62897574425
71,71,0.40768,2.1064724617,0.3546,2.62660863876
72,72,0.41328,2.10069844294,0.3529,2.62283619404
73,73,0.4143,2.0827953949,0.352,2.63278492928
74,74,0.41966,2.063932374,0.3501,2.66767968178
75,75,0.41528,2.0805728941,0.3491,2.66812067509
76,76,0.41956,2.05597316933,0.3468,2.67725550652
77,77,0.42184,2.04008658648,0.3528,2.67231759548
78,78,0.42402,2.04142999172,0.3557,2.67381141186
79,79,0.42792,2.01888757277,0.3534,2.68909677029
80,80,0.42958,2.01265366745,0.3523,2.68359025002
81,81,0.4308,2.00116221571,0.3466,2.80765545368
82,82,0.43294,2.00078841925,0.351,2.71246794224
83,83,0.43752,1.9792461195,0.347,2.70978887558
84,84,0.43524,1.98389343786,0.3456,2.7497371006
85,85,0.43808,1.97277219057,0.3523,2.70817446709
86,86,0.43674,1.96099755907,0.3467,2.7748875618
87,87,0.43974,1.95070728683,0.3498,2.7428685379
88,88,0.4408,1.94684520912,0.3523,2.75118456364
89,89,0.44492,1.93826078558,0.3425,2.80684527397
90,90,0.44792,1.92962948895,0.3486,2.7803345108
91,91,0.45016,1.90338120842,0.3502,2.75332907677
92,92,0.443,1.91747913504,0.3553,2.76875179291
93,93,0.45038,1.90194048929,0.3467,2.81089473724
94,94,0.45236,1.89982764578,0.3511,2.81556742668
95,95,0.4519,1.88834557295,0.3549,2.79125503063
96,96,0.45376,1.87682380581,0.3506,2.81461251736
97,97,0.45712,1.87168063402,0.3492,2.82698591709
98,98,0.46138,1.84862673712,0.3471,2.87948834419
99,99,0.45558,1.86656385374,0.3535,2.82143336773
100,100,0.46422,1.84377579498,0.3532,2.85249233246
101,101,0.46236,1.84210185957,0.3523,2.85981895447
102,102,0.46572,1.82729705191,0.3467,2.86892387867
103,103,0.46772,1.82272095776,0.3473,2.88758551598
104,104,0.4679,1.82968407583,0.3508,2.88849343777
105,105,0.46586,1.81828722572,0.3434,2.91154835224
106,106,0.46848,1.80883390331,0.3447,2.92038020134
107,107,0.47486,1.78917621422,0.3464,2.94579486847
108,108,0.46996,1.7916861968,0.348,2.9575568676
109,109,0.47174,1.7976449275,0.3445,2.90221756458
110,110,0.47586,1.77539778852,0.3465,2.94217582226
