,index,acc,loss,val_acc,val_loss
0,0,0.16378,2.68495099487,0.2759,2.36953772187
1,1,0.26242,2.38687237549,0.3144,2.21213266349
2,2,0.3113,2.2348299449,0.3565,2.07954621983
3,3,0.33968,2.12806144423,0.3872,1.96705050635
4,4,0.36746,2.0466132112,0.4057,1.90571017051
5,5,0.3854,1.98053562698,0.4277,1.8253634311
6,6,0.39944,1.93072080531,0.4379,1.7926250869
7,7,0.41408,1.87740951667,0.4453,1.76227771878
8,8,0.42668,1.83789065645,0.4494,1.75584726703
9,9,0.44106,1.79319770544,0.4658,1.70317291629
10,10,0.45082,1.76563300033,0.4599,1.71600691926
11,11,0.46114,1.73683083,0.4771,1.66968641961
12,12,0.46378,1.70763029387,0.4791,1.6675003227
13,13,0.47504,1.6789962837,0.4841,1.6467072134
14,14,0.47952,1.66110856845,0.4882,1.63071805692
15,15,0.48768,1.63533672523,0.4853,1.62282809258
16,16,0.49044,1.62176909347,0.4857,1.62806532156
17,17,0.49698,1.59781185884,0.5003,1.57425935018
18,18,0.50416,1.57078959606,0.5096,1.56697445941
19,19,0.51042,1.55689331157,0.5099,1.55756987929
20,20,0.51794,1.53940150776,0.5058,1.58026112294
21,21,0.51852,1.53098506808,0.5125,1.57183213627
22,22,0.52424,1.50429882724,0.5161,1.54364721859
23,23,0.5281,1.48609425511,0.5145,1.54048456419
24,24,0.53512,1.48011740315,0.5251,1.51409400487
25,25,0.53368,1.46822439377,0.5242,1.53068836927
26,26,0.53672,1.45626242585,0.525,1.52431167412
27,27,0.54574,1.43218094616,0.5167,1.55999685645
28,28,0.54604,1.43141268752,0.5382,1.50254369891
29,29,0.54996,1.41268128898,0.533,1.49535223323
30,30,0.5533,1.40713031982,0.5249,1.54091998041
31,31,0.55616,1.38793048558,0.5226,1.53513848639
32,32,0.55976,1.38860361286,0.5268,1.52513892013
33,33,0.56166,1.37324905335,0.5336,1.49629580653
34,34,0.56476,1.36387337273,0.5241,1.54772552621
35,35,0.5682,1.35023248882,0.5267,1.52455376661
36,36,0.57114,1.33914829383,0.5327,1.51168793023
37,37,0.5726,1.33757818003,0.5422,1.4796984669
38,38,0.576,1.32930277267,0.5347,1.49293043685
39,39,0.57872,1.31787398033,0.5313,1.51308324206
40,40,0.57894,1.30688189086,0.5389,1.50327619791
41,41,0.58272,1.2991651929,0.5423,1.49419462895
42,42,0.58536,1.29630634043,0.5325,1.52564011753
43,43,0.58556,1.2868503929,0.5321,1.50998629189
44,44,0.59048,1.27511565906,0.5345,1.51056713843
45,45,0.59086,1.27242973661,0.5344,1.51495597434
46,46,0.59258,1.26234619521,0.5377,1.52250518346
47,47,0.59448,1.25549428518,0.5357,1.52196600831
48,48,0.5975,1.24489617395,0.5323,1.53281522536
49,49,0.59734,1.24896908834,0.5359,1.50343457723
50,50,0.59792,1.24357727451,0.5361,1.51957942998
51,51,0.60172,1.2401557327,0.5268,1.58421009052
52,52,0.6038,1.22734352384,0.5329,1.52750342751
53,53,0.60428,1.22282738316,0.5435,1.51224739987
54,54,0.60568,1.21362746843,0.534,1.53621694279
55,55,0.60702,1.21909810916,0.5402,1.5344896034
56,56,0.61234,1.20183847662,0.5382,1.53809728932
57,57,0.61222,1.20292791229,0.5385,1.53432265782
58,58,0.61408,1.1960444682,0.5369,1.54016537857
59,59,0.61514,1.18414686764,0.5358,1.53056950569
60,60,0.6183,1.17979041173,0.5425,1.52819721711
61,61,0.61284,1.18119255168,0.5388,1.53042595398
62,62,0.61706,1.18032871001,0.5341,1.57275067258
63,63,0.62458,1.16281667775,0.5362,1.55640191948
64,64,0.62472,1.16305765551,0.5415,1.54878543973
65,65,0.62122,1.16458555319,0.5407,1.55489880425
66,66,0.62208,1.16099869987,0.5409,1.53361354029
67,67,0.6272,1.14861763477,0.5342,1.57910509843
68,68,0.62944,1.14088018491,0.5358,1.56949002558
69,69,0.62764,1.14133402213,0.5436,1.55909126961
70,70,0.63006,1.1384087956,0.543,1.55205300319
71,71,0.63174,1.1307321672,0.5393,1.5707562021
72,72,0.63,1.13528105987,0.5403,1.58017054957
73,73,0.63376,1.1214173939,0.5264,1.63448026109
74,74,0.63574,1.11775836709,0.5333,1.59209265375
75,75,0.63688,1.11128952643,0.539,1.57884395069
76,76,0.63384,1.12101419743,0.537,1.58717149127
77,77,0.63564,1.11127192963,0.5391,1.55226726079
78,78,0.6367,1.1082384274,0.5332,1.62564961934
79,79,0.64276,1.0960014711,0.5306,1.60909392214
80,80,0.63934,1.10334300514,0.5353,1.57771420777
81,81,0.6401,1.0963664328,0.5368,1.58565387022
82,82,0.64294,1.09799902631,0.534,1.60716956174
83,83,0.64534,1.08673433409,0.5356,1.62465284872
84,84,0.6447,1.09450047227,0.5317,1.60715154332
85,85,0.64456,1.09233968316,0.5329,1.65073349279
86,86,0.6476,1.07955516659,0.5296,1.65217552006
87,87,0.64462,1.07727239845,0.5267,1.64625612152
88,88,0.65074,1.06893786857,0.533,1.63404834342
89,89,0.64964,1.07109519345,0.5355,1.63515921772
90,90,0.6483,1.07585066313,0.5327,1.65915299791
91,91,0.64742,1.07235362195,0.5302,1.61440329564
92,92,0.65346,1.06020285648,0.5302,1.65654375815
93,93,0.64918,1.0651437219,0.5328,1.64414531034
94,94,0.65462,1.05693319569,0.5308,1.64112052107
95,95,0.65208,1.05624681007,0.5339,1.65519497776
96,96,0.65738,1.05163030157,0.5354,1.68071439123
97,97,0.6581,1.04072377638,0.5292,1.67529473859
98,98,0.65672,1.04203813701,0.539,1.6463523345
99,99,0.65556,1.04746844034,0.5254,1.67195920438
100,100,0.65624,1.042064267,0.5349,1.68138093007
101,101,0.6631,1.03115664951,0.5313,1.67014528853
102,102,0.65712,1.03929176767,0.521,1.7082851088
103,103,0.65628,1.04011647905,0.5328,1.67327303576
104,104,0.66042,1.03247168782,0.5299,1.67963814449
105,105,0.6631,1.02640780419,0.5374,1.6663551929
106,106,0.66396,1.02315717521,0.5342,1.68709145343
107,107,0.66406,1.02446931618,0.5133,1.75187516236
108,108,0.66622,1.01294763322,0.5345,1.71617319983
109,109,0.6644,1.01596797956,0.5261,1.73491057682
110,110,0.66898,1.00470246832,0.5275,1.73272033441
111,111,0.6648,1.02163176354,0.5346,1.68004494953
112,112,0.66564,1.01219879431,0.5331,1.69775716847
113,113,0.67052,1.00248170421,0.5335,1.70773633492
114,114,0.66908,1.01025601418,0.5312,1.73394009054
115,115,0.66802,1.00788213663,0.5311,1.73601552606
116,116,0.67028,1.00172964747,0.5272,1.77684392679
117,117,0.67128,0.996183448827,0.5299,1.69124101681
118,118,0.66986,1.00098461157,0.5289,1.69399718612
119,119,0.67208,0.993473962677,0.5294,1.73078031635
120,120,0.67112,0.993661880183,0.5302,1.76023447073
