,index,acc,loss,val_acc,val_loss
0,0,0.898083333333,0.326873576549,0.9776,0.0759757054326
1,1,0.972766666667,0.103704397264,0.9832,0.0578673124031
2,2,0.9794,0.0764291543652,0.9855,0.0498966113651
3,3,0.983766666667,0.0648978617437,0.9868,0.0415383625588
4,4,0.985866666667,0.0550202507567,0.9887,0.0368967462923
5,5,0.987016666667,0.0497556767332,0.9891,0.0367473149276
6,6,0.988416666667,0.0441779300294,0.9901,0.0358378458768
7,7,0.989683333333,0.039163041288,0.99,0.035138052339
8,8,0.990366666667,0.0366519698766,0.991,0.0313149501997
9,9,0.990666666667,0.0351291056132,0.9907,0.0329705255455
10,10,0.992083333333,0.0310835587137,0.9919,0.0314375093691
11,11,0.992366666667,0.0283977624019,0.9909,0.0322032607027
12,12,0.99305,0.0270837725869,0.9918,0.0311096150365
13,13,0.993666666667,0.0244780217926,0.9914,0.0305359020714
14,14,0.993583333333,0.0237073303667,0.9913,0.0330329404687
15,15,0.994266666667,0.0214991260846,0.992,0.0310563706054
16,16,0.9947,0.0199931281586,0.9913,0.0333601991374
17,17,0.9951,0.0191271930234,0.9921,0.0318241241484
18,18,0.995583333333,0.0175210217221,0.9913,0.0333121327322
19,19,0.9953,0.0176769299247,0.9919,0.0337412784167
20,20,0.995716666667,0.0160796143761,0.9924,0.0329231118424
21,21,0.995766666667,0.0161628865385,0.9927,0.0324653655602
22,22,0.996416666667,0.0143951599062,0.9919,0.0347663651345
23,23,0.996116666667,0.0149481988474,0.9918,0.0348178189613
24,24,0.996566666667,0.012706431722,0.9922,0.0339958942329
25,25,0.996683333333,0.012798902373,0.9916,0.0389067246916
26,26,0.997016666667,0.0113128209012,0.9922,0.0356889865723
27,27,0.9965,0.0121027885969,0.9932,0.0353192943804
28,28,0.997266666667,0.0103145168595,0.9923,0.0385273217179
29,29,0.99735,0.00976275653855,0.9926,0.035437403667
30,30,0.997383333333,0.0099742929964,0.9925,0.0358043212944
31,31,0.99755,0.00927543830365,0.9918,0.0396360702888
32,32,0.99755,0.00864922578579,0.9924,0.0370357767279
33,33,0.997633333333,0.00903719929145,0.9909,0.0396942529713
34,34,0.997716666667,0.00888487964655,0.9925,0.0364705934544
35,35,0.99765,0.00851985730053,0.9924,0.0360887630069
36,36,0.998083333333,0.00730980796542,0.9921,0.0381320839169
37,37,0.997966666667,0.00788004899531,0.9925,0.0371138862784
38,38,0.998166666667,0.00674676331111,0.9922,0.0384710734058
39,39,0.998166666667,0.00719758480385,0.9922,0.0374136315419
40,40,0.99825,0.00639442315472,0.9909,0.0438447073441
41,41,0.998016666667,0.00711965068553,0.9921,0.0382406276321
42,42,0.998183333333,0.00671805392689,0.9924,0.0370774192576
43,43,0.9985,0.00588946685268,0.9915,0.0419552599112
44,44,0.998283333333,0.00606110704681,0.992,0.0383947138401
45,45,0.998766666667,0.00509131543169,0.9921,0.0399489611364
46,46,0.998433333333,0.00557360011691,0.9919,0.0388386312802
47,47,0.998383333333,0.00642669555597,0.9913,0.0397977425051
48,48,0.998683333333,0.00515757855919,0.9919,0.0421368922278
49,49,0.99855,0.00520291886986,0.9928,0.0385048982977
50,50,0.998616666667,0.00513491008249,0.9922,0.0404064304362
51,51,0.998933333333,0.00445915599431,0.9924,0.0400402724999
52,52,0.99885,0.00448636169637,0.992,0.0423881070169
53,53,0.998683333333,0.00436432273578,0.9918,0.042687229008
54,54,0.9989,0.00426299580029,0.9921,0.0413532961647
55,55,0.998816666667,0.00441290538696,0.9925,0.041868024971
56,56,0.998766666667,0.00475848662735,0.9922,0.0418839398885
57,57,0.998983333333,0.00397334528103,0.9923,0.0410014275728
58,58,0.998783333333,0.00449921320892,0.9927,0.0405413879792
59,59,0.999033333333,0.00373268945586,0.9931,0.041493534548
60,60,0.998933333333,0.00418002044983,0.9925,0.0437679354783
61,61,0.99895,0.00411894545112,0.9926,0.0431937486234
62,62,0.999166666667,0.0034018933113,0.9926,0.0433407516095
63,63,0.999166666667,0.00361954833377,0.9925,0.0446208205172
64,64,0.99905,0.00378646825819,0.993,0.0441612474761
65,65,0.9989,0.00366378894355,0.9925,0.0445469118375
66,66,0.999166666667,0.00333316666169,0.9924,0.0446100324284
67,67,0.99925,0.00318026055681,0.9928,0.0450775476456
68,68,0.9992,0.00274740011282,0.9925,0.0456779306478
69,69,0.999283333333,0.00300683930924,0.9928,0.042940812289
70,70,0.99935,0.00290598117311,0.993,0.0439465219927
71,71,0.9992,0.00299453368468,0.9925,0.0455403273009
72,72,0.999116666667,0.00334621470724,0.9924,0.0464834983592
73,73,0.9993,0.00272368979796,0.9924,0.0459663646512
74,74,0.999283333333,0.00307079093467,0.9926,0.0462808056731
75,75,0.999166666667,0.00319768618015,0.9922,0.0448527558038
76,76,0.9991,0.00320114107627,0.9926,0.0471801327582
77,77,0.999533333333,0.00231461692576,0.9927,0.0464481663315
78,78,0.99925,0.00302665087845,0.9929,0.0467129718752
