,index,acc,loss,val_acc,val_loss
0,0,0.83445,0.523343216414,0.9624,0.119915359341
1,1,0.9422,0.201387046392,0.973,0.0899170005345
2,2,0.95895,0.143383416461,0.9779,0.0732834282665
3,3,0.964633333333,0.12427186061,0.9768,0.0797112451577
4,4,0.97085,0.104110740754,0.9816,0.061954009115
5,5,0.973883333333,0.0915814611259,0.9838,0.0565290041343
6,6,0.977566666667,0.0770110977026,0.9837,0.0580979021925
7,7,0.9794,0.0736772625728,0.9863,0.0510953017901
8,8,0.9807,0.0695057933488,0.985,0.0555740187719
9,9,0.982883333333,0.0625994257832,0.986,0.0505017643877
10,10,0.983133333333,0.0587229456214,0.9855,0.0501958790355
11,11,0.98425,0.0537715142207,0.9863,0.0523061638598
12,12,0.984833333333,0.0518196056397,0.9867,0.0494908450932
13,13,0.986083333333,0.0478176975661,0.9864,0.0472821712627
14,14,0.985616666667,0.0482797498804,0.9863,0.0488984800343
15,15,0.986666666667,0.045496135984,0.9888,0.0489600354807
16,16,0.988566666667,0.0393698281822,0.9886,0.0448534346874
17,17,0.98855,0.0374294195515,0.9885,0.0481429228645
18,18,0.989333333333,0.0364259784608,0.9886,0.0462415182878
19,19,0.989983333333,0.033878319161,0.989,0.048595350306
20,20,0.989683333333,0.0354520694844,0.9889,0.0468077162355
21,21,0.99105,0.0309559169083,0.9892,0.0469908400159
22,22,0.99115,0.0296908113932,0.9885,0.0478183028112
23,23,0.991283333333,0.0285141839439,0.9904,0.0472898078933
24,24,0.9908,0.0308391128875,0.9885,0.0487635027219
25,25,0.992766666667,0.0247470559073,0.9884,0.0492931261843
26,26,0.991516666667,0.0275105068378,0.9896,0.0476792725912
27,27,0.992316666667,0.0256680779748,0.9899,0.0496614027981
28,28,0.992966666667,0.0234401413471,0.9895,0.0485156724268
29,29,0.9935,0.0222039435999,0.9908,0.0469480876562
30,30,0.993016666667,0.0237461601092,0.9892,0.0468055661384
31,31,0.9934,0.0225105362335,0.9906,0.0488687897199
32,32,0.993683333333,0.0210258980972,0.9898,0.0469456683992
33,33,0.994333333333,0.0196668475822,0.9885,0.0548662049568
34,34,0.99365,0.020768138159,0.9887,0.0564075221265
35,35,0.994016666667,0.0193274313565,0.9897,0.0475283034946
36,36,0.9943,0.0192354829603,0.9899,0.0485936869558
37,37,0.99405,0.0180662426244,0.9909,0.0487809944915
38,38,0.9948,0.0180039143411,0.9908,0.0492853662333
39,39,0.994233333333,0.0190831289818,0.9905,0.0524017172229
40,40,0.994816666667,0.0166543621208,0.991,0.048379351903
41,41,0.994466666667,0.0168759137391,0.99,0.0528473620485
42,42,0.9954,0.0149967852289,0.9905,0.0506510499261
43,43,0.995116666667,0.0161991478918,0.9902,0.0513485900012
44,44,0.9956,0.0140551634289,0.9899,0.0559654149608
45,45,0.995783333333,0.0149690439213,0.9906,0.0542827594015
46,46,0.995666666667,0.0145253102113,0.9905,0.0523413028174
47,47,0.995816666667,0.0139584678946,0.9905,0.052529576223
48,48,0.995733333333,0.0150138925803,0.99,0.0513299035439
