,index,acc,loss,val_acc,val_loss
0,0,0.185,2.14600004697,0.277125,1.89034334898
1,1,0.3108,1.779502321,0.37,1.63398448326
2,2,0.375,1.62496094763,0.3875,1.63564010039
3,3,0.4162,1.50852451563,0.4555,1.39136593558
4,4,0.454,1.41675872779,0.479625,1.35147143222
5,5,0.4976,1.33930304998,0.521,1.26345895961
6,6,0.531,1.25440569329,0.548875,1.22633275285
7,7,0.5678,1.16805541456,0.536,1.29106477357
8,8,0.5954,1.09415730458,0.5885,1.12761279289
9,9,0.6214,1.02312282032,0.5835,1.15276260469
10,10,0.645,0.959423200428,0.583625,1.15806117013
11,11,0.6724,0.894364329308,0.613875,1.09351081159
12,12,0.7034,0.823809990436,0.607375,1.14135555768
13,13,0.7188,0.766016960725,0.61775,1.10850876149
14,14,0.7396,0.715964345805,0.610125,1.14194659056
15,15,0.7578,0.673136353046,0.6065,1.19457977718
16,16,0.7894,0.59571959243,0.631875,1.10700726362
17,17,0.802,0.559590392917,0.577625,1.335903371
18,18,0.8156,0.505639228277,0.62675,1.20849034002
19,19,0.8322,0.467329579543,0.629125,1.1900802074
20,20,0.8414,0.437507953517,0.630625,1.27464928593
21,21,0.8568,0.399907646243,0.62825,1.33687610665
22,22,0.8706,0.354977230087,0.621375,1.30011879532
23,23,0.881,0.34568428166,0.611375,1.40209523162
24,24,0.8874,0.308760872263,0.62425,1.46613416875
25,25,0.8858,0.313806751967,0.61175,1.44828355381
26,26,0.9112,0.250549166459,0.625625,1.51577792563
27,27,0.9106,0.255545829931,0.63025,1.53249380476
28,28,0.9272,0.206952023352,0.621875,1.72748262201
29,29,0.9236,0.206662974297,0.621,1.62540675274
30,30,0.9334,0.195498206927,0.633,1.73741094041
31,31,0.94,0.172367379605,0.623125,1.81591167838
32,32,0.935,0.175148298783,0.633625,1.71945542539
33,33,0.9406,0.176573833748,0.60625,1.84448916026
34,34,0.948,0.158580989816,0.629375,1.84421073167
35,35,0.945,0.157295078818,0.616625,1.97609748031
36,36,0.9546,0.123199974041,0.63475,1.86828022365
37,37,0.9568,0.140042177114,0.635625,1.81705571422
38,38,0.9542,0.134471096429,0.61925,1.88747193038
39,39,0.9594,0.117880953919,0.62975,2.02100383471
40,40,0.9582,0.119208272336,0.622125,2.05175601548
41,41,0.9662,0.106137610896,0.6195,2.32486123856
42,42,0.9688,0.0896549759753,0.629,2.10886960751
43,43,0.9716,0.0849683316217,0.630875,2.1709616762
44,44,0.9582,0.122914416034,0.627625,2.07542807739
45,45,0.9674,0.0908939724924,0.629,2.21700605489
46,46,0.9696,0.0894101092923,0.62275,2.28568844402
47,47,0.962,0.109401729543,0.627375,2.10365531944
48,48,0.9776,0.0717238654876,0.641,2.16414748395
49,49,0.9736,0.0753526511386,0.628625,2.24666452202
50,50,0.971,0.0935965757256,0.6375,2.16030952378
51,51,0.9724,0.0775033060734,0.638125,2.17614568169
52,52,0.9788,0.0636312757172,0.6275,2.25013414275
53,53,0.9764,0.078099264208,0.632625,2.30099072762
54,54,0.9764,0.0710444195497,0.625,2.47756786369
55,55,0.9708,0.0835595040666,0.621875,2.34255587856
56,56,0.9772,0.0686499212545,0.624125,2.40914279539
57,57,0.9776,0.0662132378086,0.633875,2.39040506183
58,58,0.9748,0.0768658888872,0.6235,2.32542791603
59,59,0.9804,0.0555917830899,0.622625,2.44018657584
60,60,0.9776,0.0590391991224,0.624875,2.50567809458
61,61,0.978,0.0601861374057,0.632125,2.33194351948
62,62,0.9884,0.0417800714607,0.634875,2.75050771464
63,63,0.9796,0.0639637397197,0.6275,2.42627171065
64,64,0.9772,0.0600555071749,0.62125,2.68951067404
65,65,0.9854,0.0432976728461,0.624625,2.68486850004
66,66,0.9798,0.0613142392521,0.626,2.43241433543
67,67,0.9836,0.0529547955447,0.633,2.5883866497
68,68,0.9864,0.0427782616608,0.620625,2.64874729712
69,69,0.9844,0.0546425698144,0.626625,2.69539022153
70,70,0.9824,0.0530348090273,0.61925,2.638612099
71,71,0.9846,0.0502146661001,0.601875,2.98996942346
72,72,0.987,0.0471705077505,0.62925,2.72561733993
73,73,0.9828,0.0524751486047,0.630625,2.6602600234
74,74,0.9858,0.0431364260046,0.6295,2.74817927574
75,75,0.9836,0.0511012586199,0.6305,2.57971791813
76,76,0.9818,0.0537647074084,0.629125,2.7613824089
77,77,0.9852,0.0513817736161,0.62875,2.60848132033
78,78,0.9842,0.045516275381,0.634875,2.56185615216
79,79,0.9836,0.0496514650605,0.621625,2.81781860106
80,80,0.9854,0.0496197909399,0.632125,2.57688152295
81,81,0.9882,0.0405155977827,0.626375,2.5212646043
82,82,0.9908,0.0297794769128,0.628,2.83121938402
83,83,0.984,0.0486459767731,0.630125,2.70749351272
84,84,0.9858,0.0415411152439,0.62875,2.64916730922
85,85,0.987,0.0383411204909,0.63625,2.60794904258
86,86,0.9892,0.0344156046428,0.6325,2.89011955949
87,87,0.9826,0.0532232866242,0.6345,2.5819192794
88,88,0.9826,0.0503946082503,0.629625,2.58280538077
89,89,0.9874,0.0344262292288,0.62725,2.62667185893
90,90,0.988,0.0357339218904,0.633125,2.67239922328
91,91,0.9876,0.0349043304216,0.62675,2.77539648802
92,92,0.9834,0.0507277140902,0.62825,2.77043284278
93,93,0.9866,0.0388025432509,0.623,2.71988575867
94,94,0.9882,0.0345101296753,0.628625,2.69334545619
95,95,0.9862,0.0439680711766,0.6295,2.8428934156
96,96,0.9892,0.0342589139026,0.630375,2.7751582243
97,97,0.9886,0.033463651738,0.631875,2.95902526835
98,98,0.9868,0.0357930038869,0.620875,2.95054067674
99,99,0.9846,0.0586637981529,0.619875,2.91762195701
