,index,acc,loss,val_acc,val_loss
0,0,0.2288,2.0286680479,0.405875,1.6196885854
1,1,0.3604,1.6879258852,0.465,1.51829989702
2,2,0.4114,1.54668685985,0.498125,1.41465080529
3,3,0.4642,1.43064072537,0.509375,1.34531862482
4,4,0.4972,1.35559520078,0.537375,1.30761353448
5,5,0.5346,1.27369980788,0.552,1.24520192459
6,6,0.5626,1.20787061548,0.551125,1.24447452158
7,7,0.5948,1.11885534263,0.545625,1.24224494174
8,8,0.6136,1.0821219151,0.564625,1.20119878411
9,9,0.6362,1.01228272367,0.587875,1.14695927054
10,10,0.651,0.945813479304,0.592375,1.15936107352
11,11,0.6798,0.883479879975,0.59425,1.14301272959
12,12,0.6986,0.818546981812,0.601375,1.13761102363
13,13,0.7228,0.772634482026,0.599125,1.16832020208
14,14,0.737,0.731899201274,0.60425,1.16020912126
15,15,0.7426,0.69833232522,0.614375,1.14720980711
16,16,0.771,0.637711501479,0.61475,1.18605620213
17,17,0.789,0.58534546417,0.610625,1.18149129085
18,18,0.7972,0.544738301694,0.60375,1.26411548764
19,19,0.7956,0.540851998776,0.611875,1.26134984329
20,20,0.8204,0.515526429892,0.609625,1.28326432034
21,21,0.8332,0.467928833693,0.6125,1.26906081669
22,22,0.8348,0.446333034158,0.60025,1.34246720463
23,23,0.8542,0.415019237995,0.613,1.28466904677
24,24,0.8568,0.382876791447,0.611125,1.38528383583
25,25,0.8642,0.375446967885,0.614,1.35753398627
26,26,0.8652,0.355196601659,0.6265,1.35931435347
27,27,0.8834,0.33304467389,0.61775,1.42209529541
28,28,0.884,0.311365593359,0.617625,1.41435050853
29,29,0.8918,0.314860156223,0.612625,1.47205828786
30,30,0.9008,0.284762484744,0.621,1.43209417723
31,31,0.9056,0.255590961829,0.622875,1.47273879196
32,32,0.9014,0.267227886558,0.61325,1.5530593162
33,33,0.905,0.263181954563,0.62275,1.57051520579
34,34,0.9128,0.252221330278,0.608375,1.60510133959
35,35,0.9154,0.229229742751,0.621625,1.65433936715
